,MQC1LE,MQC2LE,MQLC3LE,MQLC7LE,MQLB1LE,MQLB4LE,MQLA2LE,MQLA5LE,MQD3E1,MQEAE4,MQD3E4,MQEAE6,MQTATNE1,MQTATNE2,MQEAE8,MQD3E8,MQEAE10,MQEAE11,MQR2NE1,MQFRNE3,MQDRNE5,MQEAE13,MQD3E12,MQEAE16,MQD3E14,MQEAE18,MQTANFE1,MQD3E16,MQEAE20,MQD3E18,MQEAE22,MQEAE23,MQI6E,MQI5E,MQI4E,MQX2RE,MQM2E,MQM7E,MQEAE25,MQD3E21,MQEAE27,MQD3E23,MQEAE29,MQEAE30,MQTAFOE1,MQTAFOE2,MQEAE32,MQD3E29,MQEAE35,MQR2ORE,MQDROE5,MQEAE37,MQD3E31,MQEAE39,MQD3E33,MQEAE41,MQTAOTE1,MQTAOTE2,MQEAE44,MQEAE45,MQD3E40,MQLA2RE,MQLB8RE,MQLB1RE,MQLC7RE,MQLC3RE,MQC2RE,MQC1RE
HER_3.sdds,0.0,0.000462326002,0.000649750219,0.027594119663,0.023046399494,0.01152071977,0.010525548044,0.011144100187,-0.427957467234,0.033529512696,0.0266454507722,0.019042719066,0.001215115449,0.006645890016,0.0198404939196,0.021338455816,0.0203512516539,-0.447908967097,-0.442257083121,-0.439767955851,-0.441762715933,-0.442875469861,-0.445394942077,-0.444465580304,-0.440596383879,-0.438769694886,-0.452891448445,-0.461627486555,-0.454811388061,-0.449170521608,-0.446905558293,-0.449813109354,-0.450221158477,-0.461733423301,-0.463017022928,-0.445403254916,-0.450753036156,-0.430147254341,,0.027863917712,0.026131667202,0.0198161694058,0.008832849996,0.0118657588631,-0.005361244543,-0.002309172249,-0.001725937345,0.010926712646,0.001313428329,-0.00622157466,0.008713490706,0.00381476862,,-0.010095929762,-0.01190071134,-0.01462187927,-0.009379876362,-0.009671506858,-0.015913077875,-0.0207968051599,0.450929127112,0.457897204438,0.458349229395,0.407281239417,0.405129366679,0.4572392752,0.457496966817,0.456448633554
HER_1.sdds,0.0,-0.001507448527,-0.000407741552,0.020346041382,0.021499167732,0.010710851285,0.009389593551,0.010475504731,-0.429755380878,0.031535928611,0.0248310969656,0.018387195445,-0.000495533467,-0.002837420887,0.0171028192249,0.020786239698,0.0178945493847,-0.450383382476,-0.445330431216,-0.444127529157,-0.451202379789,-0.445854427956,-0.44716958518,-0.447445912062,-0.441663822138,-0.44093410362,-0.455552896418,-0.462605771397,-0.46584357087,-0.458242394496,-0.454486584315,-0.45264164259,-0.453819314664,-0.463598740069,-0.465748089722,-0.448359079328,-0.45305577501,-0.431949055556,,0.025819530283,0.022856706951,0.0194031250472,0.006928162641,0.0092825795881,-0.007659723083,-0.005240407229,-0.00464589463,0.008635037624,-0.001802990772,,-0.003298750089,0.001382557561,,-0.013796816157,-0.015161979304,-0.017316622137,-0.012416329666,-0.011585546734,-0.018289083902,-0.0227360769072,0.448079848438,0.454953128978,0.454209066667,0.40259972383,0.405544915292,0.454906824197,0.455229678526,0.454535533514
HER_2.sdds,0.0,-0.00113962971,-0.003851860256,0.0203906440682,0.021888364828,0.009732596791,0.010003639786,0.010996345299,-0.430176442741,0.031354467676,0.025090346178,0.017353167469,-0.001318742446,-0.0023102229963,0.018642466203,0.019849685273,0.018397302483,-0.45070308829,-0.447607331041,-0.444504237683,-0.448178055575,-0.446617227771,-0.446356419971,-0.446328785627,-0.444212345136,-0.439916048914,-0.455056676261,-0.466140269208,-0.465758327107,-0.460279089523,-0.454693050431,-0.45247861629,-0.450856681876,-0.464405758272,-0.464859658126,-0.447686224502,-0.452243104665,-0.432973015425,,0.02770978662,0.022723221666,0.016976515057,0.007328653112,0.009816493093,-0.007654618075,-0.004949246285,-0.004317439605,0.009628540091,-0.001659920005,,0.010622889097,0.002017651433,,-0.012663537585,-0.0154972316754,-0.01686647475,-0.011785652557,-0.011411620294,-0.018013079044,-0.0217495560981,0.445455052994,0.456158590853,0.456687852126,0.406166703029,0.407538308842,0.454507254731,0.455053207937,0.456892327047
