,MQC1LE,MQC2LE,MQLC3LE,MQLC7LE,MQLB1LE,MQLB4LE,MQLA2LE,MQLA5LE,MQD3E1,MQEAE4,MQD3E4,MQEAE6,MQTATNE1,MQTATNE2,MQEAE8,MQD3E8,MQEAE10,MQEAE11,MQR2NE1,MQFRNE3,MQDRNE5,MQEAE13,MQD3E12,MQEAE16,MQD3E14,MQEAE18,MQTANFE1,MQD3E16,MQEAE20,MQD3E18,MQEAE22,MQEAE23,MQI6E,MQI5E,MQI4E,MQX2RE,MQM2E,MQM7E,MQEAE25,MQD3E21,MQEAE27,MQD3E23,MQEAE29,MQEAE30,MQTAFOE1,MQTAFOE2,MQEAE32,MQD3E29,MQEAE35,MQR2ORE,MQDROE5,MQEAE37,MQD3E31,MQEAE39,MQD3E33,MQEAE41,MQTAOTE1,MQTAOTE2,MQEAE44,MQEAE45,MQD3E40,MQLA2RE,MQLB8RE,MQLB1RE,MQLC7RE,MQLC3RE,MQC2RE,MQC1RE
HER_3.sdds,0.0,0.000527784008,0.000650819571,0.02770334234,0.023031534641,0.011581479572,0.010591587308,0.011369111981,0.028134630072,0.033546753759,0.026895951891,0.019058704254,0.001311473651,0.00673516697,0.0198697557221,0.021433926778,0.02042645679,0.008010487772,0.013439979678,0.0161192716686,0.014276114816,0.012899357521,0.010518272702,0.01142924024,0.01543108187,0.017157360274,0.0029669874231,-0.005900825831,-0.454711404712,-0.449145019996,-0.446897712301,0.006066380388,0.005757317568,-0.005665853227,-0.007052515105,0.0104573403811,0.0051351530303,0.025417910274,,0.0278852462,0.026080611415,0.0196655412818,0.0089110812,0.0119111549693,-0.005230274374,-0.002207154691,-0.001683946995,0.010898533582,0.001377141434,-0.006068572396,0.007687680512,0.00394359428,,-0.010087247254,-0.011896299838,-0.014585268929,-0.009357543531,-0.0095531990141,-0.015835470351,-0.0208391007445,-0.0051671174822,0.002037841467,0.002438258798,-0.04845209921,-0.050745276563,0.00129946353,0.001604965658,0.000705677793997
HER_1.sdds,0.0,-0.001400544155,-0.000281680072,0.020485290102,0.021508157628,0.010808382344,0.009494830634,0.010204163096,0.02634767355,0.031651578353,0.0248840990953,0.01847734598,-0.000511338522,-0.002635695313,0.0172626506562,0.020955271698,0.0179390483834,0.005720285874,0.010963732791,0.0116784433733,0.004635976965,0.010159278889,0.008420940465,0.00861705894,0.014425039939,0.01507834941,0.000431364955999,-0.006514485526,-0.009886950932,-0.002271024673,0.001578557686,0.003266943392,0.00209035955,-0.007478297788,-0.009668359252,0.00752681035751,0.0029867593168,0.024018698916,,0.026107278006,0.022978795886,0.0196944522245,0.006981662394,0.0093886895531,-0.007613559012,-0.005114833951,-0.004552839577,0.008817703547,-0.001680877293,,-0.002125277299,0.001489637278,,-0.013721485191,-0.014989381474,-0.017138113533,-0.012302177377,-0.011520122688,-0.018192345174,-0.0226031896344,-0.0077155749319,-0.000960342219999,-0.001579592255,-0.053377601258,-0.050304009485,-0.001023707857,-0.000674967514001,-0.001168909489
HER_2.sdds,0.0,-0.001123171919,-0.003754888587,0.0207132276525,0.022008164897,0.009857762646,0.010155141287,0.011189774484,0.025929582518,0.031562737841,0.024989439033,0.017399355725,-0.001246577801,-0.0021366806492,0.018773178449,0.020029621623,0.018442758076,0.0054667999431,0.008371252022,0.0118329611927,0.007952893153,0.009581303027,0.009831476919,0.009831640041,0.0117790300323,0.016213145144,0.001091709605,-0.009781793435,-0.009541107409,-0.004271710091,0.0015443283089,0.003533023408,0.005200441625,-0.008259579979,-0.008759275288,0.008157401254,0.003749761082,0.0231619982558,,0.0277859710299,0.022966560718,0.017016047866,0.007410329735,0.009984695845,-0.007654547705,-0.004990448425,-0.004143340023,0.009622701222,-0.001455517719,-0.006937425387,0.007456840288,0.00202048407,,-0.012556077272,-0.0153470567794,-0.016721705194,-0.011664584073,-0.011327427593,-0.017933611929,-0.0216224313701,-0.009883174383,-3.41902109986e-05,0.000757872333001,-0.0493710221264,-0.048157609422,-0.001510742042,-0.001077249642,0.000610223216997
