,MQC1LE,MQC2LE,MQLC3LE,MQLC7LE,MQLB1LE,MQLB4LE,MQLA2LE,MQLA5LE,MQD3E1,MQEAE4,MQD3E4,MQEAE6,MQTATNE1,MQTATNE2,MQEAE8,MQD3E8,MQEAE10,MQEAE11,MQR2NE1,MQFRNE3,MQDRNE5,MQEAE13,MQD3E12,MQEAE16,MQD3E14,MQEAE18,MQTANFE1,MQD3E16,MQEAE20,MQD3E18,MQEAE22,MQEAE23,MQI6E,MQI5E,MQI4E,MQX2RE,MQM2E,MQM7E,MQEAE25,MQD3E21,MQEAE27,MQD3E23,MQEAE29,MQEAE30,MQTAFOE1,MQTAFOE2,MQEAE32,MQD3E29,MQEAE35,MQR2ORE,MQDROE5,MQEAE37,MQD3E31,MQEAE39,MQD3E33,MQEAE41,MQTAOTE1,MQTAOTE2,MQEAE44,MQEAE45,MQD3E40,MQLA2RE,MQLB8RE,MQLB1RE,MQLC7RE,MQLC3RE,MQC2RE,MQC1RE
HER_3.sdds,0.0,0.0016611215,,0.006760134325,-0.039424103836,-0.025684033665,-0.00287897981758,-0.139892426332,-0.410487185955,-0.0258815546136,-0.135203733676,0.0070302073373,0.120871074599,-0.075655964284,0.097197049853,-0.060539327701,-0.073783139486,-0.408670788977,,,,-0.294149577695,0.167517784339,0.411465301402,-0.360418724373,-0.413969319887,-0.430240715506,-0.433241032889,-0.401709892345,0.475361553292,0.48237131151,-0.46120349496,-0.322435097564,-0.48117195867,-0.481909670433,-0.431972460057,-0.379782055647,-0.398438971876,,0.0141020483056,-0.040973187411,0.003840899557,0.057766920779,0.032092272384,-0.300025326681,-0.030521596271,-0.242887104893,-0.398677173208,-0.053132834356,,-0.029012449892,0.0515756991416,,,-0.060409564419,0.061473580485,-0.014558565662,0.491166427179,0.136614477799,-0.084379284529,,,,0.373744181757,0.359463254601,0.442589503716,0.382143146035,0.390132013955
HER_1.sdds,0.0,-0.0678128560923,,0.0098131168908,0.0506869724788,,0.0192127040038,-0.139786498964,0.489674866575,0.0039492727588,-0.0769782133212,0.182809901876,-0.0540984418704,0.0302500221108,0.0641228369708,-0.0643466449052,-0.122034594904,,,,,,0.42071484687,0.495308717144,-0.469048791059,-0.490422993708,0.485798573905,-0.430527525135,-0.419001570051,0.468590604886,-0.371294760381,0.22701217776,-0.422109191859,-0.499726818737,0.485496751728,-0.471413276954,-0.336119303182,0.271971270515,,-0.0018747626252,0.171915392957,0.0084961829918,-0.318057889387,,-0.433662319221,-0.361187275369,-0.0190957102032,-0.0939953393312,,,-0.0318068761632,,-0.102599772391,-0.134760461156,-0.153504127161,0.0279983750718,0.0070543407738,-0.128682641303,0.0138922625308,-0.122108856731,-0.0897587222812,,,0.396927716988,0.358595341234,-0.49292628053,0.375758164091,0.388353770235
HER_2.sdds,0.0,-0.021388858904,,-0.011376969869,0.037398878227,,,-0.179589303427,0.435423811231,-0.088393330263,,,,0.020442419026,0.088054582009,-0.095983966752,-0.088665798793,,,,0.441705161651,,0.416373399893,0.483050539222,,-0.22038602763,-0.378514668982,-0.448251784951,-0.391999518839,0.496292221243,-0.481451489834,,-0.438858159992,0.4864702289,-0.486942804389,0.493761335784,-0.282102454389,-0.478243091862,,-0.418608561438,,0.162351890877,-0.114357863677,0.453216290704,-0.079050038213,0.048893746736,-0.015812630893,0.085396289838,0.031096842151,,0.483496985222,,,,-0.175425037184,0.117797296924,0.08002320363,0.088561050143,0.141183685529,-0.431678672377,,,,0.390057917012,0.348282277384,0.32796321334,0.422960171948,0.388137388431
