,MQC1LE,MQC2LE,MQLC3LE,MQLC7LE,MQLB1LE,MQLB4LE,MQLA2LE,MQLA5LE,MQD3E1,MQEAE4,MQD3E4,MQEAE6,MQTATNE1,MQTATNE2,MQEAE8,MQD3E8,MQEAE10,MQEAE11,MQR2NE1,MQFRNE3,MQDRNE5,MQEAE13,MQD3E12,MQEAE16,MQD3E14,MQEAE18,MQTANFE1,MQD3E16,MQEAE20,MQD3E18,MQEAE22,MQEAE23,MQI6E,MQI5E,MQI4E,MQX2RE,MQM2E,MQM7E,MQEAE25,MQD3E21,MQEAE27,MQD3E23,MQEAE29,MQEAE30,MQTAFOE1,MQTAFOE2,MQEAE32,MQD3E29,MQEAE35,MQR2ORE,MQDROE5,MQEAE37,MQD3E31,MQEAE39,MQD3E33,MQEAE41,MQTAOTE1,MQTAOTE2,MQEAE44,MQEAE45,MQD3E40,MQLA2RE,MQLB8RE,MQLB1RE,MQLC7RE,MQLC3RE,MQC2RE,MQC1RE
HER_3.sdds,0.0,-0.026152910916,,-0.034334640876,-0.079838184323,,-0.0229752936071,-0.119711640031,0.0048828989425,-0.0317017413723,-0.102390924953,0.0244304296549,-0.044118372243,-0.127747665055,0.021359677333,-0.049461411018,-0.048578225523,-0.090746542767,,,,0.070016778895,-0.0725684021,-0.012507936754,-0.047795748521,-0.0623292350539,0.019991396396,-0.032644630807,-0.275940003872,0.497032248663,0.444774918921,-0.024122032893,0.064982467105,-0.012111971517,-0.031330783308,-0.055890248826,-0.017774973583,0.015570014961,,0.0187515254943,0.028083657149,0.066187349211,-0.041532563621,0.035789775967,0.0768449318097,-0.021929459788,-0.290493347718,0.007271681087,0.024028933596,,0.02408665538,-0.024918203791,,,-0.024055992747,0.021983651547,-0.035644763926,-0.142605575915,0.077483013678,-0.009919265269,0.066327956233,,,-0.029849255953,-0.025091498046,0.0304651903629,-0.016344760553,-0.056813175588
HER_1.sdds,0.0,-0.071188515998,,-0.0254673439379,0.037372818786,,0.0174736450221,-0.102010197909,-0.110779957867,0.0593817798611,-0.0825069818299,0.0587998732791,-0.0210923767974,0.0952653034911,0.0215251848701,-0.0359940868639,-0.0303433828459,-0.0725000110229,,,,,-0.134059286714,-0.0066048227149,0.0159425193271,-0.0991825601349,0.0225000790236,0.033789474918,0.0887191285881,-0.0639737934103,-0.0083761273459,-0.407245692745,0.0334759179535,-0.0083531558951,-0.0257708217238,-0.0098268279298,-0.0326017541549,-0.000583838394899,,0.0350096109261,0.040399995476,-0.0188314340299,,-0.0880088760919,-0.0648855962085,-0.0901715190399,0.0366644221011,0.0099982732841,-0.0578014923419,,0.0914756225511,-0.0119331049879,,-0.0465655218379,-0.0790870191609,0.107405810944,-0.0239282837039,-0.0325822469679,-0.0190638494052,,-0.43486929309,,,0.0183411108171,-0.0206027565719,0.112576914201,-0.0122849818799,-0.0623490964449
HER_2.sdds,0.0,-0.017862709426,,-0.053720680545,0.024660798352,,,-0.140079296432,-0.103118073607,,0.464567361207,,0.024369179862,-0.021797705775,0.019628795616,-0.143331357523,-0.116325536169,,,,-0.079201761015,-0.304544636013,-0.109152976928,0.008393029391,-0.483760729026,-0.392058798483,0.019831183573,0.075932582764,0.136063067797,-0.034581365018,-0.036899615804,,0.014650367158,-0.004805139933,0.003201754818,0.009756492827,0.033100418674,-0.032369327368,,-0.423838194064,0.149505455078,-0.461978923744,,,-0.083832824054,0.034896062407,0.012513523449,,0.002810220362,,-0.420815908907,,,-0.0285366044468,-0.10571324859,0.106779836041,0.107862114932,0.001165009221,0.125134340202,-0.341924829113,,,,-0.006017012698,-0.022938364986,-0.069034655943,0.0139460325318,-0.066515123964
