@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5411837
@ Q2         %le              43.6092427
@ DATETIME   %08s     "11/11/2019 14:52:38"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                PX                 Y                PY               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQC1LE              MONI                          .5300002          .0000000         2.9346184        92.7403631        -5.3629337      -174.9233405          .2229788          .2538809          .2229788          .2538809          .0018071 3.594119667119E-4          .0035050 1.183016581881E-5 3.370559895378E-6 9.561088453917E-6 -3.52952726082E-4         -.0011981         -.0161435          .0015818 -9.33134409699E-4         -.0127202
  MQC2LE              MONI                         2.2500008          .0000000       144.9375455       288.1848304      -108.1653911       166.9852476          .2434579          .2547683          .0204790 8.873490493474E-4          .0118631 3.173176041523E-5          .0090513 4.572335801194E-5 6.291733828712E-4 -4.82619549165E-5 2.090141541089E-5 -5.56689333165E-5         -.0065719          .0099488          .0043217         -.0053221
  MQLC2LE             MONI                         5.6754722          .0000000       175.6019530        89.7409888        12.9203460        10.0430249          .2460514          .2590477          .0025935          .0042794          .0135352 3.472243847260E-4 -8.39258561152E-4 9.254811620285E-5 -2.49288843784E-6 1.237418098892E-7 -1.36028399371E-7 -3.75577653053E-8 8.172542426441E-4          .0047916 -1.85224086242E-4 -4.00802305687E-4
  MQLC3LE             MONI                        12.9355133          .0000000        27.1264836         6.8725869         1.2005866         3.6833158          .2639434          .3031108          .0178920          .0440631         -.0164294 9.743503924201E-4         -.0091390 -7.27399152404E-5 7.731473961945E-6 3.606290260837E-6 -3.92761794439E-7 2.946919140580E-8 2.613701167319E-4 4.688097880775E-4 -1.24572702087E-4 9.690220884609E-5
  MQLC4LE             MONI                        19.0261011          .0000000        14.8488838        42.9579639         1.7052775       -12.1036449          .3115967          .7436826          .0476533          .4405718         -.0700393         -.0011752         -.0044576 -9.36800038524E-5 2.883995299773E-5 1.673675265636E-6 4.689514887766E-7 3.775894863367E-8 -2.37619320207E-4          .0040834 -8.34840550924E-5          .0010823
  MQLC5LE             MONI                        21.8468461          .0000000         7.3204457       138.6091219          .9626088       -21.7926830          .3552174          .7495042          .0436207          .0058215         -.0826227         -.0014397         -.0044576 -9.36796094077E-5 3.356285329502E-5 1.673675265636E-6 5.755024747348E-7 3.775894863367E-8 -4.73200783774E-4          .0084728 -8.34840550924E-5          .0013179
  MQLC7LE             MONI                        27.2720861          .0000000         9.1985730       225.9932011        -1.0730302         2.9455311          .4794482          .7540851          .1242308          .0045809         -.1543132 2.226676201505E-6         -.0206256 6.323905462243E-7 6.188047296157E-5 8.198612629025E-6 6.48782154592E-10 -1.1917770788E-11         -.0027738          .0204663 2.920025350259E-5 -2.45641362791E-4
  MQLY1LE1            MONI                        29.2820861          .0000000        15.6086069       197.2621140        -3.0995113        23.9109360          .5071561          .7555526          .0277078          .0014675         -.2034426 3.432715383469E-6         -.0401502 2.918888071261E-7 8.145576463804E-5 1.603910860601E-5 5.99375172685E-10 -7.6386116648E-11         -.0050365          .0253502 5.996759756474E-4         -.0030350
  MQLY2LE1            MONI                        34.4377861          .0000000        65.6596809        27.8462594        -6.6045160         8.9358333          .5329102          .7666374          .0257541          .0110848         -.4106109 5.099444543635E-6         -.0401502 2.422602073152E-7 1.641816872577E-4 1.603910860601E-5 2.05393678435E-10 -7.6386116648E-11         -.0019435          .0197204 5.996759756474E-4         -.0061280
  MQLY3LE             MONI                        41.6978296          .0000000         5.5695955         1.9465102          .6580674         -.0769632          .5947860         1.0509014          .0618758          .2842641         -.2090013 4.621664548855E-6         -.0227217 4.800729286447E-5 8.351507298104E-5 9.066152992466E-6 -8.6944066124E-11 -2.2227534263E-11 -5.25737715924E-5 3.049046225706E-4 -1.50781596352E-4 -7.20727007892E-4
