@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5428894
@ Q2         %le              43.6087962
@ DATETIME   %08s     "10/09/2019 18:50:34"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                 Y               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQC1LE              MONI                          .5300002          .0000000         2.8902684        94.8044555        -5.2478077      -178.9013546          .2174710          .2446867          .2174710          .2446867         -.0018169 3.576641167850E-4         -.0034053 9.626063343101E-6 3.363775085479E-6 -3.52670317622E-4         -.0153396         -.0016645 6.877657736627E-4         -.0189073
  MQC2LE              MONI                         2.2500008          .0000000       141.3230251       295.0041884      -105.4966618       170.5982726          .2383503          .2455540          .0208793 8.672677006958E-4         -.0141488 2.830484110558E-5         -.0103849 4.752797993934E-5 6.281731417392E-4 2.091769423874E-5          .0043186         -.0064061         -.0017725          .0038620
  MQLC2LE             MONI                         5.6754722          .0000000       171.4831945        93.7277492        12.5635990        10.1173077          .2410066          .2496887          .0026564          .0041347         -.0151595 3.441247796476E-4          .0012508 9.246811385450E-5 -3.24297980115E-6 1.363058081958E-7 -5.56984421281E-4         -.0047146 -7.61148749908E-5 9.751594472339E-5
  MQLC3LE             MONI                        12.9355133          .0000000        26.9016075         8.5736383         1.1257855         4.2614895          .2591735          .2881445          .0181669          .0384558         -.0277716 9.911238790034E-4         -.0086389 -7.60619025242E-5 -9.99884301032E-6 3.919365042909E-7 -2.96954247723E-4 -4.69479905908E-4 1.324225690579E-4 -1.02762695148E-4
  MQLC4LE             MONI                        19.0261011          .0000000        15.3019542        41.7214910         1.6979677       -12.1313997          .3062584          .7344300          .0470849          .4462855         -.0779927         -.0011752         -.0033769 -9.69020722486E-5 -3.04294991344E-5 -4.68303000400E-7 2.424762569572E-4         -.0041868 8.811850930513E-5         -.0011393
  MQLC5LE             MONI                        21.8468461          .0000000         7.7442062       138.3680022          .9824487       -22.1450662          .3479577          .7403376          .0416993          .0059076         -.0875101         -.0014483         -.0033769 -9.69017102352E-5 -3.45393984804E-5 -5.74302607792E-7 4.909367173032E-4         -.0087834 8.811850930513E-5         -.0013877
  MQLC7LE             MONI                        27.2720861          .0000000         9.5485401       230.6312459        -1.0581922         2.6096227          .4650108          .7448728          .1170531          .0045352         -.1555572 -2.05471658609E-5         -.0200819 -4.49707445955E-7 -6.21291709330E-5 3.10030662251E-10          .0029049         -.0214229 -2.60557479894E-5 2.240575671438E-4
  MQLY1LE1            MONI                        29.2820861          .0000000        15.9171090       201.9795605        -3.1098355        24.3800125          .4919245          .7463066          .0269137          .0014338         -.2038549 -2.04863535267E-5         -.0398777 1.744874176235E-6 -8.15382583188E-5 2.91518300292E-10          .0053110         -.0266093 -6.30729877724E-4          .0031775
  MQLY2LE1            MONI                        34.4377861          .0000000        65.7772742        28.9801958        -6.5649147         9.1883806          .5173821          .7570356          .0254576          .0107290         -.4092880 -1.13240536338E-5         -.0398777 1.692935866581E-6 -1.63917556969E-4 1.14059126191E-10          .0020605         -.0208524 -6.30729877724E-4          .0064281
  MQLY3LE             MONI                        41.6978296          .0000000         5.3999931         1.8048598          .6726748          .0183805          .5801632         1.0249124          .0627811          .2678768         -.2080124 2.727299953110E-6         -.0225494 -5.06834494133E-5 -8.33176887137E-5 9.23887851268E-12 3.319816886943E-5 -4.20105233417E-4 1.590481919790E-4 7.771695918415E-4
  MQLY2LE2            MONI                        48.0578731          .0000000         6.4149402        28.4816727          .4323506        -9.1449157          .8034164         1.2333215          .2232532          .2084091         -.4091874 -3.97097759777E-4          .0398724 -1.33617294403E-4 -1.63875620678E-4 -1.0444477271E-10 7.602695870898E-4         -.0021484 2.650864391588E-4 -6.27275842622E-4
  MQLY1LE2            MONI                        53.2135731          .0000000         6.8728563       201.6603136         -.5212036       -24.4582637          .9448329         1.2441527          .1414165          .0108312         -.2037819         -.0010859          .0398724 -1.33639120251E-4 -8.15078524117E-5 -2.8920168518E-10          .0021264         -.0163400 2.650864391588E-4         -.0019934
  MQLB1LE             MONI                        55.2235731          .0000000        12.7143170       230.7523603        -1.9968856        -2.7279794          .9804549         1.2455872          .0356220          .0014345         -.1554830         -.0011654          .0200841 -1.55433258112E-5 -6.20982730014E-5 -3.1085223943E-10          .0042322         -.0252042 5.802188725515E-5 -3.23643136329E-4
