@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5404632
@ Q2         %le              43.6095263
@ DATETIME   %08s     "11/12/2019 09:22:00"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                PX                 Y                PY               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQC1LE              MONI                          .5300002          .0000000         2.9644457        92.1705409        -5.4330561      -173.8114805          .2254760          .2590203          .2254760          .2590203          .0036206 3.774473354451E-4          .0071622 4.527636616267E-5 2.287130800082E-6 7.432919535423E-6 -3.53112280313E-4         -.0011981         -.0165263          .0030969         -.0017031         -.0098348
  MQC2LE              MONI                         2.2500008          .0000000       147.0656969       286.2294063      -109.7361383       166.0125747          .2457126          .2599135          .0202366 8.932062886837E-4          .0254330 6.354376191477E-5          .0192061 2.734132867130E-5 6.217292705074E-4 -5.39018081036E-5 2.089312942963E-5 -5.56834619951E-5         -.0116789          .0176166          .0071881         -.0096408
  MQLC2LE             MONI                         5.6754722          .0000000       178.0301347        88.2511596        13.1294782        10.0506153          .2482704          .2642457          .0025578          .0043322          .0285357 3.653807568303E-4         -.0019225 9.065348039673E-5 -1.08897263089E-5 6.749869648410E-7 -2.72337973814E-7 -7.57507244391E-8          .0014533          .0091910 -2.38834759876E-4 -6.50616744671E-4
  MQLC3LE             MONI                        12.9355133          .0000000        27.2722904         6.1494510         1.2432084         3.4287988          .2659993          .3113221          .0177289          .0470764         -.0104441 9.709423515133E-4         -.0093826 -7.37745599603E-5 1.311399194385E-5 7.310631828168E-6 -7.86331923543E-7 5.914993394521E-8 4.921276245283E-4 9.390724484261E-4 -2.42944073643E-4 1.893356825239E-4
  MQLC4LE             MONI                        19.0261011          .0000000        14.6103272        43.7554266         1.7103448       -12.1429308          .3139387          .7488949          .0479395          .4375728         -.0657231         -.0011869         -.0050155 -9.54685710461E-5 5.600099247900E-5 3.567835365183E-6 9.391069392773E-7 7.580370257566E-8 -4.72788563914E-4          .0081044 -1.63384631157E-4          .0021211
  MQLC5LE             MONI                        21.8468461          .0000000         7.0947913       139.3524202          .9519034       -21.7206463          .3586545          .7546500          .0447157          .0057551         -.0798918         -.0014567         -.0050155 -9.54669241167E-5 6.607300385533E-5 3.567835365183E-6 1.153101049589E-6 7.580370257566E-8 -9.34023933627E-4          .0167290 -1.63384631157E-4          .0025823
  MQLC7LE             MONI                        27.2720861          .0000000         9.0304078       224.7868437        -1.0849085         3.1187675          .4869775          .7592327          .1283230          .0045827         -.1533488 -1.36667637165E-5         -.0208692 1.495670509843E-6 1.234202205033E-4 1.649810978628E-5 3.295925340204E-9 -6.8236813279E-11         -.0054496          .0402206 6.153195267875E-5 -5.13098224661E-4
  MQLY1LE1            MONI                        29.2820861          .0000000        15.4875255       195.8955117        -3.1049480        23.7921247          .5150599          .7607102          .0280824          .0014775         -.2028248 -9.95864088879E-6         -.0402198 2.609789534977E-6 1.627179070977E-4 3.211444259862E-5 3.032856336464E-9 -3.9260545370E-10         -.0098615          .0497505          .0011756         -.0059633
  MQLY2LE1            MONI                        34.4377861          .0000000        65.8214148        27.4378359        -6.6500071         8.8558008          .5408937          .7719207          .0258339          .0112106         -.4105178 4.138946089531E-6         -.0402198 2.414838236268E-6 3.284229028856E-4 3.211444259862E-5 1.007079776526E-9 -3.9260545370E-10         -.0037958          .0385668          .0011756         -.0120290
  MQLY3LE             MONI                        41.6978296          .0000000         5.6829080         2.0224673          .6533560         -.1207659          .6020632         1.0636148          .0611695          .2916940         -.2093590 1.586758932268E-5         -.0228682 9.402180257174E-5 1.671896085623E-4 1.818279672770E-5 -5.5692754019E-10 -9.9385922180E-11 -1.22617994526E-4 5.130328024395E-4 -2.95298736970E-4         -.0013961
  MQLY2LE2            MONI                        48.0578731          .0000000         6.2576135        28.4004505          .4895716        -8.9391207          .8157761         1.2475553          .2137130          .1839406         -.4126938 7.552131092585E-4          .0403364 2.504388925275E-4 3.291200051554E-4 -3.21517683189E-5 -1.30021309051E-9 -3.4911704605E-10         -.0013878          .0044248 -4.78056177265E-4          .0012917
  MQLY1LE2            MONI                        53.2135731          .0000000         6.4797830       196.4956804         -.5326291       -23.6385610          .9661265         1.2585571          .1503503          .0110018         -.2043988          .0020468          .0403364 2.503595206622E-4 1.632224150756E-4 -3.21517683189E-5 -3.10159695288E-9 -3.4911704605E-10         -.0038545          .0309781 -4.78056177265E-4          .0037584
  MQLB1LE             MONI                        55.2235731          .0000000        12.2748608       224.5325024        -1.9705673        -2.8903275         1.0035148         1.2600331          .0373883          .0014760         -.1549446          .0021956          .0208286 3.203467208841E-5 1.239319572282E-4 -1.64848005667E-5 -3.26858701069E-9 -1.9481072518E-11         -.0077408          .0473561 -1.16328186782E-4 6.701587177054E-4
  MQLB2LE             MONI                        60.0235180          .0000000        79.0309741        35.0225230       -10.5509395        12.4125595         1.0297221         1.2681274          .0262074          .0080942         -.1544958 8.830486001282E-4         -.0020418 -3.04690305155E-4 1.244686120056E-4 1.821091268227E-6 -1.18738117223E-9 4.79836287363E-10         -.0063254          .0478768          .0021816         -.0165635
  MQLB3LE             MONI                        68.9853633          .0000000         2.3722337         4.0333537         -.4318477          .5795056         1.1812468         1.6753029          .1515247          .4071755          .0619194 -6.50643427138E-5          .0348578 -1.04614693794E-5 -4.84674531766E-5 -2.74655179999E-5 7.22577360761E-10 -1.9393687032E-10 -7.67125593977E-4 -4.37887637484E-4 4.262144953079E-5 -3.94531974711E-4
  MQLB4LE             MONI                        77.1787307          .0000000        35.1483664        20.2733791         4.2658810        -6.4473580         1.3320252         1.9387439          .1507784          .2634411          .3141810 -1.66279827647E-4         -.0400847 -4.49472664115E-5 -2.47124671586E-4 3.147480178279E-5 -9.4865404527E-10 -3.7792399023E-10 -5.63561908920E-4 -1.85794766023E-4 -2.29604199997E-4 -6.45853160333E-4
  MQLX1LE1            MONI                        81.6354595          .0000000         7.9652597       119.5417444         1.8297411       -15.8092669         1.3749711         1.9531834          .0429459          .0144394          .1352994 -3.66502943902E-4         -.0400727 -4.49074870994E-5 -1.06756800759E-4 3.147006338708E-5 -2.63412561390E-9 -3.7787890293E-10         -.0015875          .0040142 -2.29554938891E-4 3.780585121448E-4
