@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5433548
@ Q2         %le              43.6087080
@ DATETIME   %08s     "10/09/2019 18:50:40"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                 Y               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQC1LE              MONI                          .5300002          .0000000         2.8847483        95.4914049        -5.2285688      -180.2209505          .2159619          .2426212          .2159619          .2426212         -.0027294 3.644704021647E-4         -.0050644 2.272995623246E-5 2.907867334457E-6 -3.52606888842E-4         -.0151275         -.0025351          .0011165         -.0205676
  MQC2LE              MONI                         2.2500008          .0000000       140.6647266       297.2495293      -105.0111867       171.8097176          .2369051          .2434820          .0209433 8.608306992250E-4         -.0204743 4.019564831158E-5         -.0151049 4.059918269016E-5 6.247100026913E-4 2.092250956737E-5          .0072284         -.0107768         -.0033969          .0063106
  MQLC2LE             MONI                         5.6754722          .0000000       170.7420559        94.9212933        12.4972109        10.1515116          .2395731          .2475741          .0026680          .0040921         -.0221244 3.505123806136E-4          .0017621 9.166095153558E-5 -6.97238300221E-6 2.047375148853E-7 -9.27984045787E-4         -.0072811 -4.80856292175E-5 2.233566764042E-4
  MQLC3LE             MONI                        12.9355133          .0000000        26.8792930         9.0590356         1.1104032         4.4216788          .2577833          .2847183          .0182101          .0371442         -.0305008 9.978828165745E-4         -.0085100 -7.80807207640E-5 -1.58267186850E-5 5.876009868552E-7 -4.60479599894E-4 -7.05546571423E-4 2.020735107398E-4 -1.56697374703E-4
  MQLC4LE             MONI                        19.0261011          .0000000        15.4165903        41.4695631         1.6982077       -12.1566838          .3046982          .7323650          .0469149          .4476468         -.0798563         -.0011799         -.0031115 -9.91798015072E-5 -4.62149084968E-5 -7.02374156061E-7 3.661224922758E-4         -.0063300 1.342270976576E-4         -.0017342
  MQLC5LE             MONI                        21.8468461          .0000000         7.8440209       138.5228097          .9880021       -22.2709155          .3459588          .7382861          .0412606          .0059210         -.0886219         -.0014594         -.0031115 -9.91790049355E-5 -5.21529768313E-5 -8.61271465927E-7 7.445158708317E-4         -.0133177 1.342270976576E-4         -.0021126
  MQLC7LE             MONI                        27.2720861          .0000000         9.6279939       232.2000540        -1.0549026         2.5256475          .4614776          .7428025          .1155188          .0045165         -.1557266 -3.79062264740E-5         -.0199327 -6.20481777501E-7 -9.32584558326E-5 5.08795963008E-10          .0044162         -.0325630 -3.78503687322E-5 3.277182005419E-4
  MQLY1LE1            MONI                        29.2820861          .0000000        15.9895539       203.5282306        -3.1133252        24.5394586          .4882153          .7442256          .0267377          .0014230         -.2037839 -3.73402530122E-5         -.0397797 3.400941374262E-6 -1.22303265296E-4 4.83921019025E-10          .0080879         -.0404755 -9.59811318350E-4          .0048299
  MQLY2LE1            MONI                        34.4377861          .0000000        65.8275724        29.3266548        -6.5590610         9.2689663          .5135997          .7548481          .0253845          .0106225         -.4086300 -1.94286941862E-5         -.0397797 3.282563777017E-6 -2.45711503426E-4 2.04671079266E-10          .0031424         -.0317804 -9.59811318350E-4          .0097754
  MQLY3LE             MONI                        41.6978296          .0000000         5.3668511         1.7728630          .6760961          .0447865          .5765466         1.0181877          .0629468          .2633396         -.2076985 7.205451834023E-6         -.0225301 -7.72372828256E-5 -1.24889239156E-4 7.11775302655E-11 4.155725284166E-5 -6.81364398908E-4 2.422853644518E-4          .0011905
