@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5406331
@ Q2         %le              43.6094515
@ DATETIME   %08s     "11/12/2019 09:22:03"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                PX                 Y                PY               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQC1LE              MONI                          .5300002          .0000000         2.9568308        92.2813519        -5.4153230      -174.0294902          .2248647          .2577027          .2248647          .2577027          .0031662 3.718499467111E-4          .0062334 3.486348957407E-5 2.626042400812E-6 8.102554844582E-6 -3.53071182421E-4         -.0011981         -.0164313          .0027232         -.0015123         -.0105465
  MQC2LE              MONI                         2.2500008          .0000000       146.5287749       286.6190605      -109.3399789       166.1986378          .2451622          .2585948          .0202975 8.920421369618E-4          .0219982 5.368627768051E-5          .0166348 3.304545425610E-5 6.241005002171E-4 -5.21100103372E-5 2.089530838127E-5 -5.56803224514E-5         -.0104175          .0157227          .0064796         -.0085733
  MQLC2LE             MONI                         5.6754722          .0000000       177.4183034        88.5905223        13.0766378        10.0455407          .2477289          .2629153          .0025667          .0043205          .0247370 3.598054228381E-4         -.0016487 9.125316045000E-5 -8.22647265741E-6 4.964622982860E-7 -2.38202987517E-7 -6.61469370053E-8          .0012968          .0081082 -2.25437737592E-4 -5.87855410867E-4
  MQLC3LE             MONI                        12.9355133          .0000000        27.2363721         6.3230960         1.2323899         3.4904267          .2654983          .3092255          .0177694          .0463102         -.0119629 9.715310958425E-4         -.0093219 -7.33508664801E-5 1.199353890042E-5 6.375423292428E-6 -6.87865909037E-7 5.170514855481E-8 4.370583080183E-4 8.213050429464E-4 -2.13839576502E-4 1.665592293884E-4
  MQLC4LE             MONI                        19.0261011          .0000000        14.6714539        43.5425647         1.7091794       -12.1293011          .3133624          .7475561          .0478641          .4383306         -.0668249         -.0011832         -.0048746 -9.48103308671E-5 4.937330519158E-5 3.073328371696E-6 8.214228113315E-7 6.625890737494E-8 -4.14070315230E-4          .0071025 -1.43685401978E-4          .0018647
  MQLC5LE             MONI                        21.8468461          .0000000         7.1519522       139.1219548          .9547403       -21.7314288          .3577944          .7533294          .0444319          .0057734         -.0805931         -.0014511         -.0048746 -9.48090835018E-5 5.804845343321E-5 3.073328371696E-6 1.008453214298E-6 6.625890737494E-8 -8.19654103085E-4          .0146796 -1.43685401978E-4          .0022702
  MQLC7LE             MONI                        27.2720861          .0000000         9.0706688       225.0119939        -1.0814959         3.0748412          .4850717          .7579132          .1272773          .0045837         -.1536104 -7.98271371064E-6         -.0208098 1.255379462118E-6 1.080721478986E-4 1.441415634484E-5 2.387525246953E-9 -4.8184909600E-11         -.0047879          .0353345 5.314877581059E-5 -4.44124416655E-4
  MQLY1LE1            MONI                        29.2820861          .0000000        15.5135142       196.1695692        -3.1025276        23.8138273          .5130661          .7593886          .0279944          .0014755         -.2030034 -5.02465114591E-6         -.0402061 1.838456591400E-6 1.424263721085E-4 2.809313007965E-5 2.198861532276E-9 -2.8369684238E-10         -.0086714          .0437215          .0010334         -.0052391
  MQLY2LE1            MONI                        34.4377861          .0000000        65.7591429        27.5296441        -6.6362968         8.8726900          .5388879          .7705715          .0258218          .0111829         -.4105840 4.946405042783E-6         -.0402061 1.688570815709E-6 2.873675817641E-4 2.809313007965E-5 7.35181145153E-10 -2.8369684238E-10         -.0033399          .0339226          .0010334         -.0105707
  MQLY3LE             MONI                        41.6978296          .0000000         5.6526021         2.0032517          .6542158         -.1099414          .6002538         1.0604403          .0613660          .2898688         -.2092763 1.245464965183E-5         -.0228278 8.266694023524E-5 1.462578098175E-4 1.589801788645E-5 -3.8550844606E-10 -7.4103215454E-11 -1.03515410603E-4 4.693860844564E-4 -2.59645592703E-4         -.0012309
  MQLY2LE2            MONI                        48.0578731          .0000000         6.2749911        28.3786135          .4846868        -8.9462181          .8147973         1.2462338          .2145435          .1857935         -.4123479 6.627093179608E-4          .0403006 2.200181900212E-4 2.878680011169E-4 -2.81199165194E-5 -9.3676627720E-10 -2.5380836552E-10         -.0012222          .0038587 -4.21399089167E-4          .0011265
  MQLY1LE2            MONI                        53.2135731          .0000000         6.5122236       196.7000850         -.5306682       -23.6785751          .9642760         1.2572330          .1494787          .0109992         -.2042796          .0017974          .0403006 2.199570108648E-4 1.427885918737E-4 -2.81199165194E-5 -2.24624270132E-9 -2.5380836552E-10         -.0033963          .0271931 -4.21399089167E-4          .0033006
  MQLB1LE             MONI                        55.2235731          .0000000        12.3051586       224.7891012        -1.9707460        -2.8732768         1.0015209         1.2587072          .0372449          .0014742         -.1549046          .0019281          .0207765 2.792620675152E-5 1.084396136290E-4 -1.44045297162E-5 -2.36885596700E-9 -1.4659653197E-11         -.0068154          .0416007 -1.01658445698E-4 5.840663525882E-4
  MQLB2LE             MONI                        60.0235180          .0000000        79.0858092        35.0006144       -10.5536523        12.4232849         1.0276837         1.2667985          .0261628          .0080914         -.1546953 7.746461002230E-4         -.0020915 -2.67758149603E-4 1.090093109512E-4 1.614453526438E-6 -8.6312331343E-10 3.47250352892E-10         -.0055571          .0420406          .0019202         -.0145713
  MQLB3LE             MONI                        68.9853633          .0000000         2.3631770         4.0991626         -.4305896          .5964525         1.1795326         1.6747928          .1518489          .4079943          .0615841 -5.77515604310E-5          .0347191 -8.68855691799E-6 -4.22922897557E-5 -2.39866988220E-5 5.15007835937E-10 -1.3562844650E-10 -6.78470870362E-4 -4.06638148495E-4 4.257107987247E-5 -3.40637845621E-4
  MQLB4LE             MONI                        77.1787307          .0000000        35.1990881        19.9746694         4.2681797        -6.3627022         1.3305553         1.9396270          .1510226          .2648342          .3128064 -1.42183396853E-4         -.0398935 -3.82015852188E-5 -2.15775514763E-4 2.747591688764E-5 -6.5260773363E-10 -2.6198975180E-10 -5.19221051369E-4 -4.41785237896E-4 -2.09108623959E-4 -6.56377438849E-4
  MQLX1LE1            MONI                        81.6354595          .0000000         7.9919167       118.0210442         1.8333024       -15.6220644         1.3733915         1.9542666          .0428362          .0146395          .1348071 -3.12354967168E-4         -.0398830 -3.81703320416E-5 -9.32515838469E-5 2.747230428902E-5 -1.82093366730E-9 -2.6196263888E-10         -.0014516          .0031051 -2.09066845008E-4 2.760638310444E-4
  MQLX2LE             MONI                        88.4954617          .0000000        15.7768473         2.0729429         2.9058920        -2.8587062         1.4791692         2.3841246          .1057777          .4298581          .1672430 -1.15286626219E-5         -.0223552 -2.39485043610E-6 -1.17154996070E-4 1.549304630282E-5 7.86056802940E-11 3.00910749202E-10 -5.81674809102E-4         -.0038524 -5.59580854990E-4         -.0041331
  MQLX1LE2            MONI                        94.4554638          .0000000         3.0269845       148.1602089        -1.4650761        21.4507422         1.7654153         2.4323091          .2862461          .0481844          .1399756 -4.43757657005E-4          .0419397 6.867306408917E-5 -9.91430530735E-5 -2.98179024018E-5 1.640195068849E-9 -2.1707070676E-10         -.0015129         -.0053736 2.584370557348E-4 7.537382204973E-4
  MQLA2LE             MONI                        98.9121927          .0000000        36.7714055        18.7318114        -6.1023332         7.5705791         1.8348800         2.4457987          .0694647          .0134896          .3271585 -1.37530281080E-4          .0419515 6.871382152161E-5 -2.32128244146E-4 -2.98220789908E-5 6.72079571247E-10 -2.1709986528E-10 -3.60263904576E-4 -4.05211589443E-4 2.584658386852E-4 -3.98848232913E-4
  MQLA3LE             MONI                       105.2001788          .0000000         7.4275770         2.5876025         -.4792319         -.2041742         1.8969930         2.7720381          .0621131          .3262394          .0581596 1.047306974803E-4         -.0292191 9.487958779889E-6 -4.17810339504E-5 2.055056399862E-5 2.21748714215E-10 -1.3578955092E-10 4.900508892844E-4         -.0026337 1.105061348543E-4 -8.69629874541E-5
  MQLA4LE             MONI                       109.4681120          .0000000        14.5409315        11.6747900        -1.1862991        -1.9235129         1.9643967         2.9136802          .0674036          .1416421         -.0667206 1.451691229633E-4         -.0292191 9.478252876248E-6 4.598883979514E-5 2.055056399862E-5 -3.5819798414E-10 -1.3578955092E-10 9.620140677608E-4         -.0071138 1.105061348543E-4 -5.58926166130E-4
  MQLA5LE             MONI                       119.0986538          .0000000        10.0784577       257.5864510        -3.1341771        15.9031267         2.3229156         2.9421499          .3585190          .0284696         -.0713352 1.717829915512E-4 -6.22382377179E-4 -1.28400589127E-5 5.178153322763E-5 9.377954104929E-7 -2.40477531520E-9 1.33546762607E-10         -.0022506         -.0026529 1.716283883497E-4 9.192805741497E-5
  MQLA6LE             MONI                       129.6316140          .0000000       153.3265759        41.4123993        20.0805731        -2.1544776         2.3611540         2.9603282          .0382384          .0181783         -.0685622 4.213213459943E-5          .0147816 -3.53521897269E-6 5.431364458782E-5 -1.12030781909E-5 -1.13358518441E-9 -9.3293150052E-11 1.215493958623E-4          .0031142 -1.09928187665E-4 -7.72675636695E-4
  MQLA7LE             MONI                       133.7436466          .0000000        32.7077344        61.4501570         9.2320370        -2.7150683         2.3704072         2.9733250          .0092532          .0129968         -.0076911 2.757013986403E-5          .0147816 -3.54029017819E-6 8.213952074967E-6 -1.12030781909E-5 -1.51747838391E-9 -9.3293150052E-11 -3.30795536800E-4          .0012959 -1.09928187665E-4 -3.20330703975E-4
  MQLA8LE             MONI                       143.1554475          .0000000        11.8116537         4.0717156          .4508005         -.2143316         2.7961371         3.0803818          .4257299          .1070568          .3827275 -6.34790053736E-5         -.0391165 -5.12723473218E-5 -2.69760747613E-4 2.741864825846E-5 -5.6419860240E-10 -4.9676668036E-11 4.496481658767E-5          .0021156 -1.12978828716E-4 2.091865886720E-4
  MQLA9LE             MONI                       151.6672485          .0000000        14.5415245        20.6191781        -3.1602425         2.3113770         2.9252512         3.2347252          .1291142          .1543434          .4155997 -1.65970393552E-5          .1028473 -7.42445829042E-6 -2.92638652439E-4 -7.22901041612E-5 -8.6893853203E-10 1.43171027367E-10         -.0029193          .0116065 2.738810506624E-4         -.0011740
  MQLA10LE            MONI                       155.1316133          .0000000        45.5342492         8.2899909        -5.7796445         1.2449912         2.9467590         3.2774383          .0215078          .0427131          .7724005 -4.28305822722E-5          .1028473 -7.35577158654E-6 -5.43253372444E-4 -7.22901041612E-5 -3.7259442861E-10 1.43171027367E-10         -.0019698          .0143652 2.738810506624E-4         -.0021235
  MQF4E1              MONI                       159.7521773          .0000000        27.6334362        11.9582871         2.5707302         -.9454298         2.9655427         3.3627722          .0187836          .0853339          .6174756 -1.14539469962E-4         -.0538976 -1.67167638468E-5 -4.34191148685E-4 3.794450689148E-5 5.88959747540E-11 8.61991417939E-11 9.161920520939E-4          .0126134 1.423812765428E-5 4.671677971757E-4
  MQD3E1              MONI                       164.5639584          .0000000         7.1177023        24.5499335          .1626295         2.1009618         3.0253653         3.4048677          .0598226          .0420955          .3095242 -1.93014555573E-4         -.0167756 1.311887724129E-5 -2.17579860041E-4 1.184922062432E-5 4.46698160099E-10 1.58051145980E-11 -1.21427991146E-4          .0091507 -1.34546162259E-5         -.0010319
  MQF2E1              MONI                       175.0138628          .0000000        16.2001465         5.6858078         1.9942228        -1.1871615         3.2012138         3.6092001          .1758485          .2043325          .3415227 -5.42900405796E-5         -.0283342 -4.53005953527E-5 -2.40708607721E-4 2.006290514222E-5 6.73124144355E-10 1.36057280040E-10 -4.06417434953E-5          .0013396 -1.70914715529E-4 -4.77885569597E-4
  MQD1E1              MONI                       180.1536167          .0000000         5.4977140        20.6792296         -.7825445         2.6630043         3.3094531         3.6755864          .1082393          .0663862          .2359475 -2.43811693679E-4          .0291127 1.714866552035E-5 -1.65811491531E-4 -2.03323083252E-5 1.153933375896E-9 -1.7589990881E-10         -.0014455          .0034809 1.297178295457E-4 -4.84210200822E-4
  MQF2E2              MONI                       183.8933706          .0000000        15.4623694         6.2274841        -1.8801121         1.1986480         3.3759739         3.7290736          .0665208          .0534872          .3449741 -1.79707423460E-4          .0291127 1.715854280591E-5 -2.41902584733E-4 -2.03323083252E-5 4.95650206982E-10 -1.7589990881E-10 -9.60031966993E-4          .0052616 1.297178295457E-4 -9.69662777295E-4
  MQD3E2              MONI                       194.3432750          .0000000         7.1933788        24.3405532         -.2158065        -1.9511059         3.5577985         3.9151402          .1818246          .1860666          .3139416 3.754511886688E-5          .0168247 -6.33716657777E-6 -2.19109889724E-4 -1.18678025723E-5 -5.2905613568E-10 -9.5381858540E-11 -3.74225123841E-4          .0090825 -4.72887481138E-5 4.838730395947E-4
  MQF4E2              MONI                       199.1550562          .0000000        28.8291216        11.0884227        -2.7132184          .9818089         3.6159838         3.9590896          .0581853          .0439494          .6253064 -1.77289411328E-5          .0544859 -1.23635842934E-5 -4.36911089594E-4 -3.81497626053E-5 -5.8083449599E-10 -1.5302548040E-11 -8.93782932739E-4          .0098901 1.227563601765E-4         -.0016363
  MQEAE3              MONI                       203.7756202          .0000000        48.6787799         7.1236341         5.5985706        -1.0249764         3.6338684         4.0554976          .0178846          .0964081          .7891856 -8.22516836877E-5         -.0959872 -2.49694076769E-5 -5.50792456973E-4 6.710680602570E-5 -7.2040973381E-10 -1.3488753359E-10 3.711848224736E-4          .0039367 -1.69509404233E-4         -.0011285
  MQD5E3              MONI                       209.5270192          .0000000         7.9914640        23.1026648          .4958148         1.8131944         3.6856857         4.1221861          .0518173          .0666885          .2696130 -2.03663129981E-4         -.0418258 1.197416685578E-5 -1.87723896376E-4 2.937135398068E-5 -1.34813929387E-9 1.12812912140E-10 -6.40517491345E-4 8.577577553264E-4 -1.17421193092E-5 -3.72104824457E-4
  MQF6E2              MONI                       216.8388196          .0000000         9.0780609         6.4693634         -.6443805          .4564522         3.8500463         4.2242654          .1643607          .1020793          .1685383 -7.25246157613E-5          .0139314 -6.36452513123E-6 -1.16339108539E-4 -9.65867438685E-6 -5.2038733345E-10 1.13301047048E-10 -7.25177191810E-4          .0034382 -1.13862745497E-5 -2.88568455338E-4
  MQD5E4              MONI                       225.0506200          .0000000         7.2414184        29.8892871         -.5277721        -2.4194410         4.0465357         4.3331130          .1964894          .1088476          .2676891 2.975581495098E-4          .0415782 1.751873419994E-5 -1.87028145329E-4 -2.92817699788E-5 -1.9412778711E-10 3.55478991949E-11 -7.73864889049E-4          .0121300 -8.07869413520E-5 9.453009282096E-4
  MQEAE4              MONI                       230.8020191          .0000000        47.4429943         8.9967924        -5.5807671         1.4372712         4.1018104         4.3846678          .0552747          .0515548          .7838762 1.199014449402E-4          .0953587 -3.62664607949E-5 -5.48872674337E-4 -6.68794746847E-5 1.66594799758E-10 6.57293715446E-11         -.0016766          .0150483 3.046514306306E-4         -.0028825
  MQF4E3              MONI                       235.4225831          .0000000        28.9203301        10.8863998         2.5932134         -.7007755         4.1198987         4.4700913          .0180883          .0854235          .6211708 2.659876704269E-5         -.0541061 -1.78340966017E-5 -4.35415552165E-4 3.801170227715E-5 6.24785661731E-10 1.03754219440E-10 8.480887633011E-4          .0091998 -4.69753130250E-5 -2.16650411798E-4
  MQD3E3              MONI                       240.2343642          .0000000         7.8431411        20.7309109          .1361857         1.8576366         4.1754221         4.5182776          .0555234          .0481863          .3119644 -5.27017580024E-5         -.0166803 -9.30285658425E-6 -2.18398361588E-4 1.181435922300E-5 1.107553657646E-9 -6.7697322676E-11 9.422914399305E-5          .0046699 -6.68335675598E-5 -6.75848741851E-4
  MQF2E3              MONI                       250.6842686          .0000000        15.9207880         6.3630366         2.0629058        -1.4934716         4.3397361         4.7422023          .1643140          .2239247          .3446789 -7.97127972820E-5         -.0288787 -3.60434519539E-5 -2.41803311256E-4 2.024878903614E-5 4.57559025493E-10 2.15403835705E-11 1.107164861565E-4          .0040271 -4.07871163450E-5 7.598742669592E-4
  MQD1E2              MONI                       255.8240225          .0000000         4.9479179        24.9855000         -.7050343         3.1813124         4.4563042         4.7988396          .1165680          .0566374          .2364502 -2.24214627836E-4          .0287656 2.255422652403E-5 -1.66003900321E-4 -2.02185115964E-5 4.72734590043E-10 -1.1344576578E-10         -.0019650          .0084095 2.276369036965E-4         -.0011006
  MQF2E4              MONI                       259.5637764          .0000000        14.4624718         7.4078002        -1.8373506         1.5156265         4.5292405         4.8431918          .0729363          .0443521          .3441777 -1.39892147318E-4          .0287656 2.257146278658E-5 -2.41669123654E-4 -2.02185115964E-5 4.81781550576E-11 -1.1344576578E-10         -.0011131          .0084565 2.276369036965E-4         -.0019525
  MQD3E4              MONI                       270.0136808          .0000000         7.9930273        20.3261358         -.2415146        -1.5679039         4.7046956         5.0305138          .1754551          .1873221          .3113227 4.379332627850E-5          .0166730 -1.64173235705E-5 -2.18226402683E-4 -1.18122661223E-5 -1.14318744519E-9 -1.1580413597E-10 -1.02275000682E-4          .0042774 -6.12846184281E-5 1.340748670277E-4
  MQF4E4              MONI                       274.8254620          .0000000        31.2887798         9.2048467        -2.8754693          .7710564         4.7574690         5.0836109          .0527734          .0530970          .6200324 -6.09577482176E-5          .0540205 -2.37401643253E-5 -4.35109835875E-4 -3.79886292795E-5 -8.5061075556E-10 5.98379448641E-11 -5.15181177798E-4          .0047261 2.045597035621E-5 -6.69864554584E-4
  MQEAE5              MONI                       279.4460260          .0000000        51.9268627         7.0873536         6.0630487        -1.2123217         4.7740849         5.1913793          .0166159          .1077684          .7820705 -1.87741299010E-4         -.0952179 -5.30012682633E-5 -5.48353027559E-4 6.684476431710E-5 -6.3948212420E-10 -5.3540145128E-11 1.970882661715E-4          .0036146 -6.93214730877E-5 -1.09343560350E-5
  MQD5E5              MONI                       285.1974250          .0000000         7.9849730        26.4734970          .6045533         1.9312915         4.8242188         5.2535979          .0501339          .0622186          .2665740 -4.44408952147E-4         -.0416361 2.767043605627E-5 -1.86670597667E-4 2.930974706590E-5 -8.5119193187E-10 1.06600828312E-10 -9.45177844551E-4          .0046931 3.615565376694E-5 -4.42349601432E-4
  MQF6E3              MONI                       292.5092254          .0000000         8.2893211         7.7323434         -.6461646          .6259744         5.0020641         5.3390042          .1778453          .0854063          .1668870 -2.26007069687E-5          .0141211 -4.32865887090E-6 -1.15736393171E-4 -9.72028126786E-6 -6.9830503388E-11 1.06841943283E-10 -6.78906158918E-4          .0064140 3.657929498214E-5 -7.11490741786E-4
  MQD5E6              MONI                       300.7210258          .0000000         8.0711364        29.1565024         -.6008821        -2.1709634         5.1947002         5.4384856          .1926360          .0994814          .2695526 3.617295332145E-4          .0420195 1.456455022341E-5 -1.87649535018E-4 -2.94357937689E-5 7.79075750713E-10 1.02987927107E-10 2.112264152580E-4          .0073274 -1.99515022603E-5 4.839522434493E-4
