@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5440716
@ Q2         %le              43.6085913
@ DATETIME   %08s     "10/09/2019 18:50:50"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                 Y               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQC1LE              MONI                          .5300002          .0000000         2.8820231        96.6364550        -5.2093519      -182.4188576          .2135830          .2397000          .2135830          .2397000         -.0041073 3.803635873649E-4         -.0075119 5.310498784879E-5 1.880429383492E-6 -3.52516832296E-4         -.0147988         -.0038942          .0017814         -.0231605
  MQC2LE              MONI                         2.2500008          .0000000       139.9251641       300.9818653      -104.4669413       173.8334437          .2345841          .2405503          .0210011 8.503303247377E-4         -.0298655 6.806946304876E-5         -.0221079 2.441218315092E-5 6.171567330670E-4 2.093085021976E-5          .0117634         -.0175890         -.0059254          .0101222
  MQLC2LE             MONI                         5.6754722          .0000000       169.9244324        96.8509924        12.4203832        10.2126520          .2372650          .2445748          .0026809          .0040245         -.0324556 3.658288159976E-4          .0025233 8.985433642759E-5 -1.51622463165E-5 3.079366739293E-7         -.0015092         -.0113026 -5.30898516274E-6 4.134887297487E-4
  MQLC3LE             MONI                        12.9355133          .0000000        26.8833975         9.8371861         1.0904119         4.6744736          .2555118          .2798209          .0182468          .0352461         -.0345320          .0010104         -.0083133 -8.20764567479E-5 -2.55834418303E-5 8.807375209002E-7 -7.26638619419E-4         -.0010630 3.113888452504E-4 -2.41107090188E-4
  MQLC4LE             MONI                        19.0261011          .0000000        15.5942255        41.1240641         1.7010388       -12.2059917          .3021332          .7294541          .0466213          .4496331         -.0825725         -.0011907         -.0027158 -1.03776268076E-4 -7.05809117460E-5 -1.05355684661E-6 5.550997108553E-4         -.0096180 2.062858561639E-4         -.0026623
  MQLC5LE             MONI                        21.8468461          .0000000         7.9894774       138.8890007          .9973945       -22.4844625          .3427567          .7353903          .0406236          .0059362         -.0902178         -.0014829         -.0027158 -1.03774536958E-4 -7.89803065200E-5 -1.29179242126E-6          .0011365         -.0203236 2.062858561639E-4         -.0032436
  MQLC7LE             MONI                        27.2720861          .0000000         9.7344593       234.8261525        -1.0492957         2.3983535          .4561844          .7398742          .1134276          .0044839         -.1558829 -7.31873461402E-5         -.0196990 -8.25508365389E-7 -1.40002701377E-4 5.05750244385E-10          .0067663         -.0498819 -5.38924478094E-5 4.721154499419E-4
  MQLY1LE1            MONI                        29.2820861          .0000000        16.0826878       206.1004822        -3.1168267        24.8064677          .4826928          .7412798          .0265085          .0014055         -.2035552 -7.12633257903E-5         -.0396110 6.902072721347E-6 -1.83407667610E-4 5.05715899906E-10          .0124244         -.0620701         -.0014727          .0073982
  MQLY2LE1            MONI                        34.4377861          .0000000        65.8697596        29.8916224        -6.5485689         9.4017771          .5079873          .7517321          .0252944          .0104524         -.4074092 -3.48171746028E-5         -.0396110 6.630281831427E-6 -3.68124181207E-4 2.82426259199E-10          .0048383         -.0488839         -.0014727          .0149843
  MQLY3LE             MONI                        41.6978296          .0000000         5.3216111         1.7287111          .6801950          .0869680          .5711748         1.0078634          .0631876          .2561313         -.2071763 1.833867576831E-5         -.0225172 -1.18812079646E-4 -1.87121987769E-4 3.24093949669E-10 4.236166236990E-5         -.0011485 3.724571260479E-4          .0018455
