@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5409937
@ Q2         %le              43.6093097
@ DATETIME   %08s     "11/11/2019 14:52:36"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                PX                 Y                PY               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQC1LE              MONI                          .5300002          .0000000         2.9418538        92.5667898        -5.3801462      -174.5864014          .2236167          .2551328          .2236167          .2551328          .0022596 3.628388165609E-4          .0044051 1.815270959061E-5 3.167694482875E-6 9.165683138836E-6 -3.52991417714E-4         -.0011981         -.0162400          .0019659         -.0011275         -.0119886
  MQC2LE              MONI                         2.2500008          .0000000       145.4616779       287.5983600      -108.5523557       166.6859282          .2440359          .2560219          .0204192 8.891065598606E-4          .0152146 3.779097276229E-5          .0115583 4.222979303950E-5 6.278197736869E-4 -4.92922261530E-5 2.089943282085E-5 -5.56730447052E-5         -.0078651          .0118905          .0050470         -.0064149
  MQLC2LE             MONI                         5.6754722          .0000000       176.2005833        89.3357436        12.9717989        10.0418183          .2466205          .2603160          .0025846          .0042940          .0172382 3.507305229633E-4         -.0011072 9.219914339205E-5 -4.03124808580E-6 2.210351093017E-7 -1.70057283023E-7 -4.70492839285E-8 9.788540079060E-4          .0059094 -1.98643556455E-4 -4.63007793384E-4
  MQLC3LE             MONI                        12.9355133          .0000000        27.1629587         6.6845158         1.2110456         3.6176545          .2644718          .3051195          .0178513          .0448035         -.0149550 9.732275492312E-4         -.0092001 -7.28334746589E-5 9.300798120346E-6 4.523237838925E-6 -4.91080020892E-7 3.686616166396E-8 3.217479696217E-4 5.861864008054E-4 -1.54680868060E-4 1.203687851491E-4
  MQLC4LE             MONI                        19.0261011          .0000000        14.7906001        43.1442814         1.7066093       -12.1097512          .3121935          .7449497          .0477217          .4398302         -.0689827         -.0011774         -.0045957 -9.39164919062E-5 3.579127502401E-5 2.126340570464E-6 5.863546583985E-7 4.723851997578E-8 -2.96533402472E-4          .0050928 -1.03752621877E-4          .0013455
  MQLC5LE             MONI                        21.8468461          .0000000         7.2648080       138.7514093          .9600724       -21.7675842          .3560783          .7507563          .0438847          .0058065         -.0819585         -.0014426         -.0045957 -9.39158689893E-5 4.179213998894E-5 2.126340570464E-6 7.196691346660E-7 4.723851997578E-8 -5.89339494914E-4          .0105532 -1.03752621877E-4          .0016383
  MQLC7LE             MONI                        27.2720861          .0000000         9.1550026       225.6164902        -1.0755853         2.9882789          .4813075          .7553391          .1252292          .0045828         -.1540929 -4.25673004657E-8         -.0206881 8.245810787918E-7 7.730089489809E-5 1.026430748357E-5 1.081317954222E-9 -2.0568707497E-11         -.0034505          .0254615 3.698584417404E-5 -3.10421483700E-4
  MQLY1LE1            MONI                        29.2820861          .0000000        15.5744521       196.8539357        -3.0998782        23.8733795          .5091138          .7568096          .0278063          .0014705         -.2033128 1.665530037949E-6         -.0401714 6.804044703120E-7 1.017936759075E-4 2.005521439687E-5 9.97837460363E-10 -1.2774695405E-10         -.0062600          .0315267 7.455764990388E-4         -.0037756
  MQLY2LE1            MONI                        34.4377861          .0000000        65.6796666        27.7339295        -6.6136741         8.9127497          .5348951          .7679295          .0257813          .0111199         -.4106317 5.425769511885E-6         -.0401714 6.032357032522E-7 2.052440699913E-4 2.005521439687E-5 3.38883012029E-10 -1.2774695405E-10         -.0024141          .0245036 7.455764990388E-4         -.0076215
  MQLY3LE             MONI                        41.6978296          .0000000         5.5959647         1.9652635          .6565995         -.0880614          .5966137         1.0540862          .0617186          .2861567         -.2090979 6.828876850830E-6         -.0227546 5.967065028135E-5 1.044200777397E-4 1.133994739685E-5 -1.5584446600E-10 -3.5764296222E-11 -6.84881026219E-5 3.654758964077E-4 -1.87418994707E-4 -8.93394881731E-4
