@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5445582
@ Q2         %le              43.6085231
@ DATETIME   %08s     "10/09/2019 18:50:56"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                 Y               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQC1LE              MONI                          .5300002          .0000000         2.8843345        97.4718346        -5.2037305      -184.0215861          .2119151          .2378709          .2119151          .2378709         -.0050330 3.948908357550E-4         -.0091196 8.077226067948E-5 9.648656547848E-7 -3.52460085910E-4         -.0145721         -.0048387          .0022407         -.0249631
  MQC2LE              MONI                         2.2500008          .0000000       139.6168698       303.6996278      -104.2413256       175.3123171          .2329259          .2387138          .0210108 8.428395445321E-4         -.0360733 9.360911583427E-5         -.0267341 9.611659804466E-6 6.105625674188E-4 2.093736201513E-5          .0149103         -.0223163         -.0076776          .0127639
  MQLC2LE             MONI                         5.6754722          .0000000       169.5992622        98.2276696        12.3860404        10.2593512          .2356120          .2426910          .0026861          .0039773         -.0392787 3.800502285676E-4          .0030278 8.824594308616E-5 -2.23361387519E-5 3.772140636117E-7         -.0019146         -.0141087 2.373357187003E-5 5.411117154456E-4
  MQLC3LE             MONI                        12.9355133          .0000000        26.9151307        10.3911066         1.0792984         4.8515987          .2538617          .2767184          .0182497          .0340273         -.0371838          .0010205         -.0081800 -8.54218824446E-5 -3.27555040591E-5 1.075938297760E-6 -9.19117034876E-4         -.0013047 3.877631475194E-4 -2.99844347790E-4
  MQLC4LE             MONI                        19.0261011          .0000000        15.7182379        40.9120433         1.7048771       -12.2456802          .3002559          .7276372          .0463942          .4509188         -.0843367         -.0012003         -.0024531 -1.07665003990E-4 -8.72718936606E-5 -1.28781908910E-6 6.836126981000E-4         -.0118636 2.564220762240E-4         -.0033068
  MQLC5LE             MONI                        21.8468461          .0000000         8.0839469       139.2136949         1.0045804       -22.6421893          .3404648          .7335807          .0402089          .0059435         -.0912387         -.0015034         -.0024531 -1.07662479991E-4 -9.71258633691E-5 -1.57900503525E-6          .0014061         -.0251430 2.564220762240E-4         -.0040293
  MQLC7LE             MONI                        27.2720861          .0000000         9.7949492       236.7477190        -1.0447769         2.3121816          .4526389          .7380403          .1121741          .0044597         -.1559272 -1.03127244284E-4         -.0195370 -9.37053189895E-7 -1.71184443889E-4 1.14882033969E-10          .0083934         -.0618686 -6.34119437933E-5 5.605262781006E-4
  MQLY1LE1            MONI                        29.2820861          .0000000        16.1305901       207.9724370        -3.1171949        25.0017997          .4790227          .7394334          .0263839          .0013930         -.2033275 -9.98916152402E-5         -.0394848 9.939574621606E-6 -2.24096865414E-4 1.69986884226E-10          .0154390         -.0770423         -.0018285          .0091752
  MQLY2LE1            MONI                        34.4377861          .0000000        65.8592756        30.2978149        -6.5387950         9.4978926          .5042762          .7497664          .0252534          .0103330         -.4064502 -4.73465840842E-5         -.0394848 9.527846352728E-6 -4.49511929358E-4 2.41020703100E-10          .0060219         -.0608027         -.0018285          .0185923
  MQLY3LE             MONI                        41.6978296          .0000000         5.2934250         1.7024083          .6819596          .1170278          .5676333         1.0008043          .0633571          .2510379         -.2067953 2.902091482922E-5         -.0225181 -1.47807020461E-4 -2.28519572800E-4 6.41307479979E-10 3.420574940651E-5         -.0015168 4.631238691037E-4          .0023077
  MQLY2LE2            MONI                        48.0578731          .0000000         6.4852932        28.7941094          .4091290        -9.3662380          .7948199         1.2266792          .2271867          .2258749         -.4076512         -.0011382          .0395487 -3.86774115886E-4 -4.49753194866E-4 1.48987261713E-10          .0022283         -.0058534 7.837267517529E-4         -.0017080
