@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5443143
@ Q2         %le              43.6085563
@ DATETIME   %08s     "10/09/2019 18:50:53"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                 Y               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQC1LE              MONI                          .5300002          .0000000         2.8827429        97.0471848        -5.2057809      -183.2069265          .2127575          .2387736          .2127575          .2387736         -.0045694 3.872247903103E-4         -.0083180 6.617932719545E-5 1.445806240021E-6 -3.52488135637E-4         -.0146862         -.0043625          .0020093         -.0240541
  MQC2LE              MONI                         2.2500008          .0000000       139.7514883       302.3185242      -104.3396236       174.5603455          .2337665          .2396203          .0210090 8.466299840874E-4         -.0329741 8.012643932625E-5         -.0244248 1.742234144989E-5 6.140148282883E-4 2.093399896600E-5          .0133239         -.0199333         -.0067945          .0114326
  MQLC2LE             MONI                         5.6754722          .0000000       169.7385623        97.5304588        12.4014324        10.2354416          .2364504          .2436213          .0026839          .0040011         -.0358729 3.725265621506E-4          .0027758 8.909101392574E-5 -1.85786282647E-5 3.425210840554E-7         -.0017100         -.0126925 9.158283671582E-6 4.772204870289E-4
  MQLC3LE             MONI                        12.9355133          .0000000        26.8961453        10.1105290         1.0846257         4.7621625          .2547009          .2782534          .0182506          .0346320         -.0358611          .0010152         -.0082469 -8.36787168251E-5 -2.91031790202E-5 9.783591062397E-7 -8.21308027618E-4         -.0011834 3.492110116387E-4 -2.70223361256E-4
  MQLC4LE             MONI                        19.0261011          .0000000        15.6555654        41.0163998         1.7027460       -12.2251965          .3012122          .7285333          .0465112          .4502799         -.0834589         -.0011953         -.0025843 -1.05635803713E-4 -7.88823157611E-5 -1.17066881950E-6 6.190946534106E-4         -.0107351 2.311349649092E-4         -.0029819
  MQLC5LE             MONI                        21.8468461          .0000000         8.0369369       139.0437683         1.0008827       -22.5618529          .3416277          .7344734          .0404155          .0059401         -.0907323         -.0014927         -.0025843 -1.05633692034E-4 -8.80275825841E-5 -1.43537004060E-6          .0012704         -.0227177 2.311349649092E-4         -.0036332
  MQLC7LE             MONI                        27.2720861          .0000000         9.7658574       235.7704605        -1.0471326         2.3554213          .4544146          .7389455          .1127869          .0044720         -.1559106 -8.74989880723E-5         -.0196186 -8.83264390752E-7 -1.55592469431E-4 3.60113814093E-10          .0075735         -.0558292 -5.87745881059E-5 5.171362439072E-4
  MQLY1LE1            MONI                        29.2820861          .0000000        16.1082625       207.0212440        -3.1172518        24.9024688          .4808576          .7403448          .0264431          .0013994         -.2034484 -8.49601968231E-5         -.0395492 8.348859862137E-6 -2.03757964875E-4 3.82902427655E-10          .0139188         -.0694961         -.0016492          .0082800
  MQLY2LE1            MONI                        34.4377861          .0000000        65.8692778        30.0917990        -6.5440505         9.4490983          .5061293          .7507381          .0252717          .0103932         -.4069434 -4.08474900026E-5         -.0395492 8.010975930770E-6 -4.08842038745E-4 2.74261262046E-10          .0054246         -.0547893         -.0016492          .0167742
  MQLY3LE             MONI                        41.6978296          .0000000         5.3073797         1.7152117          .6811892          .1017915          .5694000         1.0043524          .0632706          .2536143         -.2069890 2.333448285001E-5         -.0225168 -1.33175205490E-4 -2.07830308129E-4 4.65567452685E-10 3.920603258002E-5         -.0013266 4.173827316562E-4          .0020739
