@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5431206
@ Q2         %le              43.6087510
@ DATETIME   %08s     "10/09/2019 18:50:37"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                 Y               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQC1LE              MONI                          .5300002          .0000000         2.8871637        95.1400263        -5.2375916      -179.5460959          .2167238          .2436421          .2167238          .2436421         -.0022726 3.606953621470E-4         -.0042378 1.547674078021E-5 3.158647713637E-6 -3.52638258355E-4         -.0152342         -.0020965 9.007423264304E-4         -.0197309
  MQC2LE              MONI                         2.2500008          .0000000       140.9785308       296.1017766      -105.2425418       171.1897494          .2376374          .2445063          .0209136 8.641098235835E-4         -.0173187 3.359419707909E-5         -.0127506 4.444261364030E-5 6.265996944823E-4 2.092003898086E-5          .0057627         -.0085752         -.0025789          .0050776
  MQLC2LE             MONI                         5.6754722          .0000000       171.0944606        94.3150682        12.5289918        10.1337174          .2402999          .2486199          .0026625          .0041137         -.0186505 3.469456860004E-4          .0015069 9.210396979115E-5 -4.93357273741E-6 1.704910134801E-7 -7.40919246221E-4         -.0059870 -6.21464849996E-5 1.603467946035E-4
  MQLC3LE             MONI                        12.9355133          .0000000        26.8881782         8.8131019         1.1178991         4.3407652          .2584901          .2864154          .0181902          .0377954         -.0291407 9.943563039979E-4         -.0085746 -7.70086973833E-5 -1.28445522043E-5 4.897934961382E-7 -3.77388126450E-4 -5.87345631359E-4 1.669412173580E-4 -1.29504578797E-4
  MQLC4LE             MONI                        19.0261011          .0000000        15.3589926        41.5931693         1.6979408       -12.1432370          .3054922          .7333851          .0470022          .4469697         -.0789301         -.0011773         -.0032440 -9.79642078304E-5 -3.82756299961E-5 -5.85338685682E-7 3.040784647407E-4         -.0052538 1.109894701768E-4         -.0014345
  MQLC5LE             MONI                        21.8468461          .0000000         7.7944119       138.4359503          .9851670       -22.2062708          .3469706          .7392998          .0414783          .0059147         -.0880710         -.0014534         -.0032440 -9.79636484149E-5 -4.33184081455E-5 -7.17791269692E-7 6.169949995276E-4         -.0110376 1.109894701768E-4         -.0017474
  MQLC7LE             MONI                        27.2720861          .0000000         9.5889899       231.3967980        -1.0565726         2.5676986          .4632426          .7438259          .1162720          .0045261         -.1556487 -2.86235036453E-5         -.0200080 -5.38999100962E-7 -7.76895796182E-5 4.18887954705E-10          .0036553         -.0269545 -3.20593257927E-5 2.766051977006E-4
  MQLY1LE1            MONI                        29.2820861          .0000000        15.9541350       202.7367417        -3.1116478        24.4578062          .4900663          .7452544          .0268237          .0014285         -.2038278 -2.83498564818E-5         -.0398302 2.506378354498E-6 -1.01922538960E-4 3.95804062432E-10          .0066886         -.0334921 -7.94046198819E-4          .0039980
  MQLY2LE1            MONI                        34.4377861          .0000000        65.8036661        29.1503687        -6.5620058         9.2278555          .5154864          .7559309          .0254201          .0106765         -.4089751 -1.51668460910E-5         -.0398302 2.424705131923E-6 -2.04830983426E-4 1.60220727137E-10          .0025968         -.0262714 -7.94046198819E-4          .0080898
  MQLY3LE             MONI                        41.6978296          .0000000         5.3830682         1.7886354          .6744376          .0314250          .5783517         1.0215646          .0628653          .2656338         -.2078589 4.688715524336E-6         -.0225386 -6.38508082160E-5 -1.04111310966E-4 3.20586538993E-11 3.811399126401E-5 -5.46076045002E-4 2.003321761980E-4 9.816154555072E-4
  MQLY2LE2            MONI                        48.0578731          .0000000         6.4248991        28.5167753          .4283302        -9.1725810          .8022733         1.2322976          .2239217          .2107330         -.4089501 -4.99108559442E-4          .0398289 -1.68165163396E-4 -2.04782440603E-4 -1.3538551176E-10 9.586883012936E-4         -.0026813 3.346524364690E-4 -7.82824115893E-4
  MQLY1LE2            MONI                        53.2135731          .0000000         6.9017960       202.3301103         -.5208754       -24.5571243          .9431089         1.2431031          .1408356          .0108055         -.2038097         -.0013660          .0398289 -1.68199580284E-4 -1.01887337622E-4 -3.8980664442E-10          .0026832         -.0205421 3.346524364690E-4         -.0025073
  MQLB1LE             MONI                        55.2235731          .0000000        12.7499738       231.5495342        -2.0001607        -2.7180555          .9786028         1.2445325          .0354939          .0014295         -.1556301         -.0014660          .0200086 -1.94058574821E-5 -7.76538032205E-5 -4.2099402392E-10          .0053364         -.0317101 7.259599029339E-5 -4.03847846530E-4
  MQLB2LE             MONI                        60.0235180          .0000000        80.6074572        35.3251625       -10.7134945        12.7565574         1.0040227         1.2524592          .0254199          .0079266         -.1598412 -5.81774954029E-4         -.0030301 2.052784384736E-4 -7.91840870166E-5 -1.7283203606E-10          .0042414         -.0318956         -.0014976          .0112966
  MQLB3LE             MONI                        68.9853633          .0000000         2.2758731         4.9599772         -.4057468          .8146322         1.1576602         1.6702084          .1536375          .4177492          .0575585 4.903079754004E-5          .0332994 2.430485570680E-6 2.920417983312E-5 2.58759834288E-11 5.489734903128E-4 5.264852186678E-4 -7.38035806743E-5 1.968584424925E-4
  MQLB4LE             MONI                        77.1787307          .0000000        35.2888519        17.0102094         4.2362170        -5.5468702         1.3124329         1.9524360          .1547727          .2822276          .2981473 7.607484717683E-5         -.0377869 1.844770596813E-5 1.504912523379E-4 1.45538284977E-10 5.733057829702E-4          .0025367 2.123441293291E-4          .0011958
  MQLX1LE1            MONI                        81.6354595          .0000000         8.1981660       103.4942075         1.8447153       -13.8677768         1.3546057         1.9693650          .0421728          .0169289          .1298827 1.583875834774E-4         -.0377938 1.846784667752E-5 6.539256688220E-5 3.36324102726E-10          .0015194          .0010956 2.123878247617E-4 2.498428839937E-4
  MQLX2LE             MONI                        88.4954617          .0000000        16.4220838         1.6240288         3.0396990        -2.2474256         1.4562585         2.3834331          .1016528          .4140681          .1684234 3.679310506198E-6         -.0217473 -8.03181851617E-6 8.399527977330E-5 -5.1037506836E-11 3.148519971069E-4          .0022562 2.054045072205E-4          .0019386
  MQLX1LE2            MONI                        94.4554638          .0000000         2.9284687       122.9993703        -1.4467337        17.6370544         1.7456816         2.4436365          .2894231          .0602034          .1454863 1.860859092894E-4          .0440107 -3.08355944826E-5 7.218715729549E-5 -4.0246901406E-10 -1.33864948002E-4          .0047317 -1.21160922516E-5 -6.69308602309E-4
  MQLA2LE             MONI                        98.9121927          .0000000        36.7742755        16.2145127        -6.1505460         6.3349566         1.8162912         2.4595382          .0706096          .0159017          .3414310 4.874742080343E-5          .0440017 -3.08326950623E-5 1.693422226484E-4 -1.3852010945E-10 -1.87768629055E-4          .0025870 -1.21383786945E-5 -6.15250822279E-4
  MQLA3LE             MONI                       105.2001788          .0000000         7.7049151         2.4707807         -.5335057          .0725026         1.8771384         2.7452019          .0608472          .2856637          .0628813 -7.69510444799E-5         -.0297404 1.444552149021E-6 3.100961288839E-5 4.36799285874E-11 -3.62400915025E-4          .0018247 -5.05973971409E-5 -1.50668462315E-4
  MQLA4LE             MONI                       109.4681120          .0000000        15.2905389         9.2558317        -1.2447359        -1.6630719         1.9414218         2.9205588          .0642834          .1753569         -.0639223 -7.08254592748E-5         -.0297404 1.441357190593E-6 -3.21666785336E-5 1.16775219564E-10 -5.78239308044E-4          .0036486 -5.05973971409E-5 6.516993075151E-5
