@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5435915
@ Q2         %le              43.6086671
@ DATETIME   %08s     "10/09/2019 18:50:43"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                 Y               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQLX1LE2            MONI                        94.4554638          .0000000         2.9128824       119.6024057        -1.4412060        17.1178006         1.7420796         2.4459302          .2895303          .0623790          .1463672 2.295153835071E-4          .0443058 -3.88919944536E-5 1.013725789993E-4 -1.21356376830E-9 -4.52901392454E-4          .0068028 2.051795788529E-5 -9.63386867644E-4
  MQLA2LE             MONI                        98.9121927          .0000000        36.7015680        15.8905795        -6.1444320         6.1688668         1.8129510         2.4622178          .0708714          .0162876          .3435461 5.635530693051E-5          .0442931 -3.88919405326E-5 2.378408324400E-4 -4.3773962830E-10 -3.61373740555E-4          .0041223 2.046278245123E-5         -.0010546
  MQLA3LE             MONI                       105.2001788          .0000000         7.7303720         2.4761923         -.5412830          .1177105         1.8737434         2.7410653          .0607924          .2788475          .0635214 -1.08952471458E-4         -.0298434 4.083255252685E-6 4.365045063428E-5 5.73630757566E-11 -5.13451440441E-4          .0025584 -6.36135661048E-5 -2.60955439450E-4
  MQLA4LE             MONI                       109.4681120          .0000000        15.3898945         8.9197833        -1.2546411        -1.6285358         1.9376817         2.9220694          .0639383          .1810041         -.0636708 -9.16073356782E-5         -.0298434 4.077624588798E-6 -4.49250796377E-5 3.30206762432E-10 -7.84759976657E-4          .0047924 -6.36135661048E-5 1.035309688306E-5
  MQLA5LE             MONI                       119.0986538          .0000000         9.9325338       215.3811984        -3.1477134        13.0245866         2.3004803         2.9577474          .3627986          .0356780         -.0811758 2.578441208889E-5         -.0032187 1.173316917514E-6 -5.52128993536E-5 1.617917447466E-9 -5.91507657238E-4          .0092809 -4.45695835740E-7 -4.94674110541E-4
  MQLA6LE             MONI                       129.6316140          .0000000       155.2798250        37.5896455        20.2607492        -2.2834256         2.3387084         2.9785955          .0382281          .0208481         -.1014697 4.277609489742E-5          .0192581 9.044066891783E-6 -6.57886368813E-5 6.59027966039E-10          .0015719          .0103350 2.070181986397E-4          .0015499
  MQLA7LE             MONI                       133.7436466          .0000000        33.5170436        59.1468767         9.3713154        -2.9627199         2.3477786         2.9924830          .0090702          .0138875         -.0223875 7.981245780816E-5          .0192581 9.033216526477E-6 -1.33393322743E-5 8.04680391447E-10          .0024226          .0067487 2.070181986397E-4 6.991818655744E-4
  MQLA8LE             MONI                       143.1554475          .0000000        11.0825903         5.6591943          .3435858         -.4765413         2.7720212         3.0828766          .4242426          .0903935          .3924991 1.284043611833E-4         -.0393248 5.000789340293E-5 2.731647891120E-4 1.61985463780E-10 6.203645822021E-5         -.0026193 1.160052248958E-4 -1.14725546433E-4
  MQLA9LE             MONI                       151.6672485          .0000000        15.8031421        22.9786390        -3.4970923         2.9399354         2.8992656         3.1979972          .1272444          .1151206          .4245474 5.354486854294E-5          .1043825 3.821339162875E-6 2.957642128661E-4 -3.3890284763E-11          .0031686         -.0123806 -3.45276142113E-4          .0014427
  MQLA10LE            MONI                       155.1316133          .0000000        50.0499159         7.6525144        -6.3952685         1.4870964         2.9189069         3.2400347          .0196413          .0420375          .7856614 6.627702684769E-5          .1043825 3.908330714262E-6 5.478883372819E-4 -9.8959929754E-11          .0019733         -.0142172 -3.45276142113E-4          .0026381
