@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5438306
@ Q2         %le              43.6086282
@ DATETIME   %08s     "10/09/2019 18:50:47"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                 Y               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQC1LE              MONI                          .5300002          .0000000         2.8821410        96.2400019        -5.2143825      -181.6580455          .2143919          .2406501          .2143919          .2406501         -.0036467 3.742928328566E-4         -.0067012 4.152187363811E-5 2.268886763928E-6 -3.52546184380E-4         -.0149098         -.0034338          .0015567         -.0222818
  MQC2LE              MONI                         2.2500008          .0000000       140.1363435       299.6907330      -104.6221160       173.1322583          .2353792          .2415040          .0209873 8.539346399670E-4         -.0267467 5.741151656059E-5         -.0197828 3.059598108502E-5 6.199872977624E-4 2.092789762545E-5          .0102279         -.0152824         -.0050697          .0088323
  MQLC2LE             MONI                         5.6754722          .0000000       170.1549631        96.1894907        12.4427576        10.1910325          .2380565          .2455515          .0026773          .0040475         -.0290258 3.599385177003E-4          .0022702 9.053666731931E-5 -1.20881906519E-5 2.734509952322E-7         -.0013120         -.0099380 -1.96702594856E-5 3.499293220081E-4
  MQLC3LE             MONI                        12.9355133          .0000000        26.8765614         9.5709249         1.0966454         4.5885110          .2562952          .2814210          .0182387          .0358695         -.0331959          .0010059         -.0083793 -8.06115640747E-5 -2.21969630039E-5 7.830716891007E-7 -6.35009206099E-4 -9.43284922567E-4 2.742739218542E-4 -2.12487241131E-4
  MQLC4LE             MONI                        19.0261011          .0000000        15.5340545        41.2352971         1.6997305       -12.1881281          .3030202          .7303996          .0467250          .4489786         -.0816770         -.0011866         -.0028475 -1.02082701104E-4 -6.23685712499E-5 -9.36475525237E-7 4.916158166994E-4         -.0085116 1.818609148058E-4         -.0023479
  MQLC5LE             MONI                        21.8468461          .0000000         7.9415272       138.7500966          .9940973       -22.4101115          .3438538          .7363314          .0408336          .0059318         -.0896949         -.0014741         -.0028475 -1.02081317106E-4 -6.99848596744E-5 -1.14825890881E-6          .0010042         -.0179596 1.818609148058E-4         -.0028605
  MQLC7LE             MONI                        27.2720861          .0000000         9.7009062       233.9156946        -1.0512931         2.4410117          .4579502          .7408267          .1140965          .0044953         -.1558433 -6.01669139126E-5         -.0197782 -7.62978989416E-7 -1.24416295620E-4 5.68258139788E-10          .0059712         -.0440237 -4.87731046944E-5 4.255107165490E-4
  MQLY1LE1            MONI                        29.2820861          .0000000        16.0541659       205.2108862        -3.1159852        24.7138966          .4845299          .7422382          .0265796          .0014115         -.2036471 -5.87762403594E-5         -.0396700 5.596696913537E-6 -1.63047429726E-4 5.53563284542E-10          .0109549         -.0547605         -.0012991          .0065295
  MQLY2LE1            MONI                        34.4377861          .0000000        65.8620483        29.6973370        -6.5524844         9.3559601          .5098510          .7527486          .0253211          .0105104         -.4078462 -2.92442652063E-5         -.0396700 5.383414421556E-6 -3.27361171161E-4 2.70391036555E-10          .0042627         -.0430831         -.0012991          .0132217
  MQLY3LE             MONI                        41.6978296          .0000000         5.3362082         1.7428532          .6789992          .0725388          .5729577         1.0113387          .0631067          .2585902         -.2073571 1.400395080581E-5         -.0225195 -1.04707945560E-4 -1.66395258334E-4 2.13539816817E-10 4.375391637200E-5 -9.82010351965E-4 3.283184057622E-4          .0016222
