@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5417882
@ Q2         %le              43.6090569
@ DATETIME   %08s     "11/11/2019 14:52:46"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                PX                 Y                PY               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQC1LE              MONI                          .5300002          .0000000         2.9146370        93.3784207        -5.3140959      -176.1567669          .2210033          .2502604          .2210033          .2502604 4.505256904380E-4 3.534029595964E-4 8.564904137246E-4 9.127665801720E-7 3.707686155893E-6 1.021340548648E-5 -3.52841275868E-4         -.0011981         -.0158493 4.036413239117E-4 -3.40506266192E-4         -.0149649
  MQC2LE              MONI                         2.2500008          .0000000       143.4366028       290.3131915      -107.0570531       168.0948931          .2416529          .2511414          .0206496 8.810023257017E-4          .0019547 2.104186910939E-5          .0016428 5.185355652283E-5 6.312407053871E-4 -4.66619876317E-5 2.090725970070E-5 -5.56548629601E-5         -.0026116          .0040020          .0021028         -.0019786
  MQLC2LE             MONI                         5.6754722          .0000000       173.8876400        91.0836899        12.7728963        10.0580751          .2442722          .2553720          .0026194          .0042306          .0025950 3.408261826109E-4 -4.53614109532E-5 9.311098237876E-5 -7.95254836722E-8 -8.56565389573E-9 -3.40114404549E-8 -9.32599979219E-9 3.202156004664E-4          .0013533 -1.44756149261E-4 -2.14448773283E-4
  MQLC3LE             MONI                        12.9355133          .0000000        27.0237894         7.4680382         1.1704282         3.8888409          .2622811          .2972659          .0180089          .0418938         -.0207718 9.789183650180E-4         -.0089540 -7.31259277356E-5 2.148392271941E-6 8.922910948661E-7 -9.81130883961E-8 7.352158259780E-9 6.847460896448E-5 1.171580967114E-4 -3.18159560347E-5 2.472555428923E-5
  MQLC4LE             MONI                        19.0261011          .0000000        15.0201803        42.4452257         1.7015141       -12.0989290          .3097319          .7400277          .0474508          .4427618         -.0731224         -.0011716         -.0040478 -9.38136085185E-5 7.362356319587E-6 3.980139865365E-7 1.171561726543E-7 9.419601558972E-9 -5.97767778508E-5          .0010291 -2.12655536502E-5 2.754065978508E-4
  MQLC5LE             MONI                        21.8468461          .0000000         7.4839265       138.3415615          .9699434       -21.8944828          .3525955          .7458882          .0428635          .0058605         -.0845425         -.0014363         -.0040478 -9.38135846390E-5 8.485164562864E-6 3.980139865365E-7 1.437291239489E-7 9.419601558972E-9 -1.19767481052E-4          .0021439 -2.12655536502E-5 3.353973010522E-4
  MQLC7LE             MONI                        27.2720861          .0000000         9.3319127       227.4059703        -1.0666076         2.8187857          .4739537          .7504580          .1213582          .0045698         -.1548880 2.256413526912E-6         -.0204314 1.391515643173E-7 1.549705019427E-5 2.039786233234E-6 3.25369717393E-11 -5.2034032065E-13 -7.04495299843E-4          .0051971 7.009023340969E-6 -5.94004356638E-5
  MQLY1LE1            MONI                        29.2820861          .0000000        15.7209729       198.7383119        -3.1013735        24.0530345          .5013578          .7519148          .0274042          .0014568         -.2037291 2.438618896182E-6         -.0400701 -1.16469005603E-7 2.037608159970E-5 4.005413801174E-6 3.01880423443E-11 -3.7802028539E-12         -.0012825          .0064440 1.525595416315E-4 -7.70785403409E-4
  MQLY2LE1            MONI                        34.4377861          .0000000        65.6612047        28.2231406        -6.5840693         9.0167949          .5270109          .7628808          .0256531          .0109661         -.4103600 1.848340750434E-6         -.0400701 -1.19620098937E-7 4.102885881230E-5 4.005413801174E-6 1.06965013363E-11 -3.7802028539E-12 -4.95848215020E-4          .0050264 1.525595416315E-4         -.0015574
  MQLY3LE             MONI                        41.6978296          .0000000         5.4978929         1.8914009          .6632329         -.0427825          .5892904         1.0412863          .0622795          .2784055         -.2086780 5.034789894498E-7         -.0226385 1.222632730924E-5 2.086185701286E-5 2.262690992208E-6 -3.1006217769E-12 -1.2620579595E-12 -1.14264817801E-5 8.616323638944E-5 -3.83929430959E-5 -1.85034280166E-4
