@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5408100
@ Q2         %le              43.6093793
@ DATETIME   %08s     "11/12/2019 09:22:06"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                PX                 Y                PY               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQC1LE              MONI                          .5300002          .0000000         2.9492787        92.4136124        -5.3976472      -174.2881278          .2242451          .2564068          .2242451          .2564068          .0027126 3.669829165779E-4          .0053145 2.582692720926E-5 2.919539730862E-6 8.679818094435E-6 -3.53030899117E-4         -.0011981         -.0163360          .0023463         -.0013205         -.0112642
  MQC2LE              MONI                         2.2500008          .0000000       145.9930755       287.0759133      -108.9446205       166.4234105          .2446036          .2572975          .0203585 8.906732552890E-4          .0185925 4.510609326755E-5          .0140859 3.800575195282E-5 6.261297179471E-4 -5.05742138055E-5 2.089740325729E-5 -5.56768454903E-5         -.0091466          .0138146          .0057660         -.0074984
  MQLC2LE             MONI                         5.6754722          .0000000       176.8072206        88.9521534        13.0239853        10.0426329          .2471793          .2616052          .0025757          .0043077          .0209716 3.549233880540E-4         -.0013770 9.176790295887E-5 -5.94140242066E-6 3.452120569549E-7 -2.04112479421E-7 -5.65793941348E-8          .0011386          .0070146 -2.12044500783E-4 -5.25339806321E-4
  MQLC3LE             MONI                        12.9355133          .0000000        27.1997558         6.5014017         1.2216576         3.5533683          .2649897          .3071578          .0178103          .0455526         -.0134664 9.722903827482E-4         -.0092611 -7.30371914099E-5 1.072197189736E-5 5.446287817032E-6 -5.89448312320E-7 4.427768992276E-8 3.802874871920E-4 7.036798318527E-4 -1.84427555762E-4 1.435792184992E-4
  MQLC4LE             MONI                        19.0261011          .0000000        14.7315010        43.3390014         1.7079220       -12.1182726          .3127814          .7462409          .0477917          .4390831         -.0679114         -.0011801         -.0047347 -9.42931740939E-5 4.263622543352E-5 2.592861894304E-6 7.038419561370E-7 5.673785013260E-8 -3.55334942301E-4          .0060989 -1.23813950983E-4          .0016062
  MQLC5LE             MONI                        21.8468461          .0000000         7.2086346       138.9219906          .9574564       -21.7471209          .3569364          .7520314          .0441550          .0057905         -.0812820         -.0014464         -.0047347 -9.42922674555E-5 4.995441857347E-5 2.592861894304E-6 8.639810466641E-7 5.673785013260E-8 -7.04792199821E-4          .0126216 -1.23813950983E-4          .0019557
  MQLC7LE             MONI                        27.2720861          .0000000         9.1122842       225.2889867        -1.0783976         3.0313640          .4831818          .7566152          .1262454          .0045838         -.1538586 -3.44394730441E-6         -.0207494 1.031969053151E-6 9.269858428511E-5 1.233619002135E-5 1.655179537822E-9 -3.2480383913E-11         -.0041217          .0304162 4.496785150804E-5 -3.76574984613E-4
  MQLY1LE1            MONI                        29.2820861          .0000000        15.5426213       196.4894027        -3.1008602        23.8409616          .5110839          .7580883          .0279021          .0014731         -.2031662 -1.15217092368E-6         -.0401900 1.195676710991E-6 1.221177609547E-4 2.407330650826E-5 1.525821841962E-9 -1.9613913301E-10         -.0074713          .0376487 8.901066508107E-4         -.0045101
  MQLY2LE1            MONI                        34.4377861          .0000000        65.7123491        27.6283668        -6.6242258         8.8916876          .5368879          .7692410          .0258040          .0111526         -.4106224 5.374899101665E-6         -.0401900 1.085068659849E-6 2.463070209113E-4 2.407330650826E-5 5.13980208627E-10 -1.9613913301E-10         -.0028794          .0292363 8.901066508107E-4         -.0091020
  MQLY3LE             MONI                        41.6978296          .0000000         5.6236258         1.9841812          .6553062         -.0990470          .5984368         1.0572650          .0615489          .2880240         -.2091894 9.441195140718E-6         -.0227899 7.122022354471E-5 1.253344848944E-4 1.361715155465E-5 -2.5361523892E-10 -5.2976436858E-11 -8.54715001597E-5 4.202459991162E-4 -2.23696364820E-4         -.0010634
  MQLY2LE2            MONI                        48.0578731          .0000000         6.2913710        28.3627297          .4797359        -8.9553285          .8138164         1.2449364          .2153796          .1876714         -.4120128 5.698254677752E-4          .0402644 1.894010027529E-4 2.466500489425E-4 -2.40916625769E-5 -6.4553566391E-10 -1.7664557372E-10         -.0010546          .0032970 -3.63967292484E-4 9.625600164796E-4
  MQLY1LE2            MONI                        53.2135731          .0000000         6.5453030       196.9493405         -.5289590       -23.7241251          .9624434         1.2559306          .1486270          .0109942         -.2041724          .0015465          .0402644 1.893557403007E-4 1.223660937858E-4 -2.40916625769E-5 -1.55681401561E-9 -1.7664557372E-10         -.0029322          .0233894 -3.63967292484E-4          .0028402
  MQLB1LE             MONI                        55.2235731          .0000000        12.3377140       225.0974262        -1.9714488        -2.8569423          .9995408         1.2574026          .0370974          .0014720         -.1548791          .0016591          .0207230 2.385351685370E-5 9.295055204546E-5 -1.23295414019E-5 -1.64308145315E-9 -1.0604247084E-11         -.0058796          .0358080 -8.70435467428E-5 4.987505122198E-4
  MQLB2LE             MONI                        60.0235180          .0000000        79.1586431        34.9870063       -10.5588715        12.4368860         1.0256538         1.2654892          .0261131          .0080866         -.1549269 6.658695326150E-4         -.0021451 -2.30564565505E-4 9.352846730217E-5 1.402654774972E-6 -6.0074647993E-10 2.40453473839E-10         -.0047838          .0361717          .0016560         -.0125603
  MQLB3LE             MONI                        68.9853633          .0000000         2.3542242         4.1658793         -.4291136          .6135729         1.1777995         1.6743033          .1521457          .4088141          .0612500 -5.02175209044E-5          .0345838 -7.05223898687E-6 -3.61505940843E-5 -2.05215823422E-5 3.50279330387E-10 -9.0136074471E-11 -5.87796586101E-4 -3.69200864879E-4 4.097988364545E-5 -2.87939876674E-4
  MQLB4LE             MONI                        77.1787307          .0000000        35.2420753        19.6843716         4.2694912        -6.2807392         1.3290886         1.9405379          .1512891          .2662346          .3114587 -1.19083316434E-4         -.0397052 -3.17922282618E-5 -1.84562469450E-4 2.349600834055E-5 -4.2476534905E-10 -1.7220543688E-10 -4.67046601646E-4 -6.14914226290E-4 -1.86142274157E-4 -6.39853531631E-4
  MQLX1LE1            MONI                        81.6354595          .0000000         8.0172920       116.5504036         1.8364050       -15.4414565         1.3718241         1.9553768          .0427355          .0148390          .1343285 -2.60704780816E-4         -.0396962 -3.17686952902E-5 -7.97949141713E-5 2.349336520932E-5 -1.19263813963E-9 -1.7219032052E-10         -.0012970          .0023156 -1.86108646922E-4 1.901145128466E-4
  MQLX2LE             MONI                        88.4954617          .0000000        15.8294697         2.0304774         2.9179653        -2.8010589         1.4771852         2.3839820          .1053611          .4286051          .1672460 -9.43400275884E-6         -.0222850 -1.12266560856E-6 -1.00430683338E-4 1.326106341585E-5 4.72314136662E-11 1.95587491087E-10 -4.87627327699E-4         -.0032481 -4.59460642039E-4         -.0034386
  MQLX1LE2            MONI                        94.4554638          .0000000         3.0201046       145.7252597        -1.4652182        21.0832870         1.7638673         2.4330980          .2866821          .0491160          .1404585 -3.67351535803E-4          .0421360 5.703865171603E-5 -8.51212990208E-5 -2.56140779721E-5 1.062678764024E-9 -1.3991169499E-10         -.0011679         -.0047071 2.031237103433E-4 6.608239394941E-4
  MQLA2LE             MONI                        98.9121927          .0000000        36.8100242        18.4823449        -6.1129907         7.4507737         1.8333698         2.4467904          .0695026          .0136925          .3284786 -1.13020506012E-4          .0421461 5.706636769235E-5 -1.99346158335E-4 -2.56171581326E-5 4.38748902194E-10 -1.3992801641E-10 -2.62016822563E-4 -5.91674382531E-4 2.031402086385E-4 -2.44973119020E-4
  MQLA3LE             MONI                       105.2001788          .0000000         7.4574132         2.5671872         -.4835764         -.1804848         1.8953111         2.7697076          .0619413          .3229172          .0586191 8.973699606588E-5         -.0292572 7.353985406319E-6 -3.59419919180E-5 1.762675471325E-5 1.55914815721E-10 -9.0008958842E-11 4.201885108221E-4         -.0022454 9.207991916549E-5 -5.32583552656E-5
  MQLA4LE             MONI                       109.4681120          .0000000        14.6050101        11.4440507        -1.1901397        -1.8981647         1.9624068         2.9141181          .0670957          .1444104         -.0663991 1.210812758243E-4         -.0292572 7.347049931232E-6 3.933298511224E-5 1.762675471325E-5 -2.2846803975E-10 -9.0008958842E-11 8.134153930750E-4         -.0059466 9.207991916549E-5 -4.46485237641E-4
  MQLA5LE             MONI                       119.0986538          .0000000        10.0793756       253.9262867        -3.1392823        15.6563457         2.3213834         2.9430823          .3589766          .0289642         -.0721135 1.353404485347E-4 -8.36027475552E-4 -1.02941103097E-5 4.460898107919E-5 8.648346385054E-7 -1.56686071313E-9 8.64942805774E-11         -.0017449         -.0027161 1.358992456068E-4 1.058695377359E-4
  MQLA6LE             MONI                       129.6316140          .0000000       153.6606241        41.0482947        20.1189651        -2.1599832         2.3595742         2.9614711          .0381908          .0183888         -.0712455 3.111000658592E-5          .0151445 -3.33308986290E-6 4.732277950891E-5 -9.70671064268E-6 -7.4481192941E-10 -6.2410023780E-11 -4.66806187342E-6          .0018098 -1.00052116727E-4 -7.08578555040E-4
  MQLA7LE             MONI                       133.7436466          .0000000        32.8064640        61.1593767         9.2537708        -2.7278709         2.3688025         2.9745553          .0092283          .0130842         -.0088934 1.737962336491E-5          .0151445 -3.33708817070E-6 7.384505955319E-6 -9.70671064268E-6 -1.00159805336E-9 -6.2410023780E-11 -4.16332626169E-4 6.073328913890E-4 -1.00052116727E-4 -2.96913990706E-4
  MQLA8LE             MONI                       143.1554475          .0000000        11.7690863         4.1722489          .4423670         -.2302649         2.7945159         3.0803636          .4257134          .1058083          .3835116 -5.77232509176E-5         -.0391323 -4.37118949524E-5 -2.31448647356E-4 2.350620474668E-5 -3.8067441743E-10 -3.5771766877E-11 3.362245617377E-5          .0018457 -9.67642137585E-5 1.719315172596E-4
  MQLA9LE             MONI                       151.6672485          .0000000        14.6423537        20.6475937        -3.1854054         2.3409562         2.9233356         3.2317553          .1288197          .1513917          .4163271 -1.62491522068E-5          .1029728 -6.20997874453E-6 -2.51042194851E-4 -6.19990828848E-5 -6.0330286879E-10 9.79377004107E-11         -.0025061          .0099516 2.376920026991E-4         -.0010174
  MQLA10LE            MONI                       155.1316133          .0000000        45.8740372         8.1892001        -5.8243111         1.2530413         2.9446866         3.2747022          .0213510          .0429470          .7734916 -3.81377776156E-5          .1029728 -6.15886416894E-6 -4.65958582733E-4 -6.19990828848E-5 -2.6380725321E-10 9.79377004107E-11         -.0016821          .0122558 2.376920026991E-4         -.0018414
