@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5422163
@ Q2         %le              43.6089455
@ DATETIME   %08s     "11/11/2019 14:52:52"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                PX                 Y                PY               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQLB4LE             MONI                        77.1787307          .0000000        35.3483476        17.8768879         4.2559096        -5.7793570         1.3186904         1.9477066          .1535064          .2762746          .3027055 1.680648792952E-5         -.0384574 4.248259488063E-6 3.032960339341E-5 -3.85431215696E-6 -7.6763472615E-13 -7.1097819415E-13 1.019402435022E-4 3.653972562954E-4 3.854297168174E-5 1.926977584010E-4
  MQLX1LE1            MONI                        81.6354595          .0000000         8.1540670       107.6019482         1.8464049       -14.3550811         1.3609610         1.9639056          .0422706          .0161990          .1313398 3.574301290698E-5         -.0384589 4.249014265394E-6 1.315340937906E-5 -3.85438355558E-6 -3.9359764361E-12 -7.1098353963E-13 2.737065285682E-4 4.410592141885E-6 3.854443926369E-5 2.093543061826E-5
  MQLX2LE             MONI                        88.4954617          .0000000        16.2194067         1.7598572         3.0004964        -2.4327311         1.4637216         2.3834057          .1027605          .4195001          .1677530 1.043690723520E-6         -.0218951 -9.34489776173E-7 1.676890616918E-5 -2.19173713803E-6 -7.9902616552E-13 3.05580794971E-13 6.928707305992E-5 4.823163412686E-4 5.371902604072E-5 4.541932994858E-4
  MQLX1LE2            MONI                        94.4554638          .0000000         2.9624997       130.4439096        -1.4566637        18.7702980         1.7525877         2.4394020          .2888661          .0559963          .1437043 4.599990388354E-5          .0433836 -7.38333049808E-6 1.434786599522E-5 4.330107348960E-6 9.05104522986E-13 4.16875421350E-14 5.096045388528E-5 8.920532169553E-4 -1.34237941111E-5 -1.25873653143E-4
  MQLA2LE             MONI                        98.9121927          .0000000        36.8717065        16.9416662        -6.1524728         6.6997917         1.8226933         2.4545117          .0701055          .0151097          .3370138 1.309790154817E-5          .0433818 -7.38298166510E-6 3.364401294094E-5 4.330019622292E-6 1.09087856367E-12 4.16934653404E-14 -8.85775690022E-6 3.706063105421E-4 -1.34242078418E-5 -6.60510516065E-5
  MQLA3LE             MONI                       105.2001788          .0000000         7.6349055         2.4801757         -.5160061         -.0183215         1.8837737         2.7538114          .0610804          .2992997          .0614887 -1.51289295669E-5         -.0295492 -2.81415150581E-7 6.130240772655E-6 -2.95266990568E-6 2.79348932198E-12 -5.1655780497E-13 -7.11302121495E-5 3.657843524181E-4 -1.21054959368E-5 -1.59167148833E-5
  MQLA4LE             MONI                       109.4681120          .0000000        15.0594513         9.9818863        -1.2237794        -1.7395459         1.9489191         2.9178597          .0651454          .1640483         -.0646001 -1.63314154105E-5         -.0295492 -2.81567671089E-7 -6.47029715692E-6 -2.95266990568E-6 5.89075546554E-13 -5.1655780497E-13 -1.22790494396E-4 8.218688980861E-4 -1.21054959368E-5 3.574356736360E-5
  MQLA5LE             MONI                       119.0986538          .0000000        10.0292058       231.1661763        -3.1559807        14.1121159         2.3104845         2.9503878          .3615655          .0325281         -.0772020 -8.56077706931E-6         -.0022017 8.852806396676E-7 -7.68566244331E-6 -2.11096700242E-7 -3.2611818736E-12 7.06034078591E-14 8.398927059460E-5 9.404229478064E-4 -1.01422697560E-5 -4.73615604862E-5
  MQLA6LE             MONI                       129.6316140          .0000000       155.1421601        38.8951972        20.2738100        -2.2137062         2.3485620         2.9701785          .0380774          .0197907         -.0884852 7.806097021395E-7          .0174837 9.329052877671E-7 -8.73343247840E-6 1.732707491191E-6 -2.8384257819E-12 -4.6809265763E-13 1.236913362143E-4 6.723881543136E-4 2.355441765815E-5 1.729941026748E-4
  MQLA7LE             MONI                       133.7436466          .0000000        33.3232296        59.6636360         9.3541440        -2.8374491         2.3576681         2.9837791          .0091061          .0136006         -.0166058 4.614793996657E-6          .0174837 9.327374972861E-7 -1.60919521456E-6 1.732707491191E-6 -4.7630455873E-12 -4.6809265763E-13 2.205381847802E-4 4.769048871509E-4 2.355441765815E-5 7.614725410859E-5
