@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5413797
@ Q2         %le              43.6091782
@ DATETIME   %08s     "11/11/2019 14:52:41"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                PX                 Y                PY               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQC1LE              MONI                          .5300002          .0000000         2.9276325        92.9338227        -5.3461187      -175.2979961          .2223310          .2526514          .2223310          .2526514          .0013549 3.566983680002E-4          .0026138 6.851797759852E-6 3.528171245288E-6 9.866937387283E-6 -3.52914812597E-4         -.0011981         -.0160462          .0011936 -7.37286168070E-4         -.0134597
  MQC2LE              MONI                         2.2500008          .0000000       144.4235238       288.8337882      -107.7858461       167.3204460          .2428687          .2535368          .0205377 8.854077795013E-4          .0085369 2.692226611024E-5          .0065636 4.849050567428E-5 6.301931281712E-4 -4.74814063179E-5 2.090336900635E-5 -5.56645242116E-5         -.0052659          .0079879          .0035896         -.0042191
  MQLC2LE             MONI                         5.6754722          .0000000       175.0147527        90.1675900        12.8698830        10.0461823          .2454710          .2578008          .0026023          .0042640          .0098613 3.444041672838E-4 -5.73041373150E-4 9.281586572752E-5 -1.32334695190E-6 5.315375043155E-8 -1.02016962947E-7 -2.81059722971E-8 6.537049987786E-4          .0036602 -1.71775931166E-4 -3.38671261654E-4
  MQLC3LE             MONI                        12.9355133          .0000000        27.0908179         7.0657642         1.1903115         3.7503816          .2634031          .3011321          .0179321          .0433313         -.0178900 9.756671940827E-4         -.0090776 -7.27569649447E-5 6.015404586966E-6 2.695466127256E-6 -2.94494260091E-7 2.208542564009E-8 1.990818984321E-4 3.515302418707E-4 -9.40765668174E-5 7.315491703234E-5
  MQLC4LE             MONI                        19.0261011          .0000000        14.9064856        42.7796220         1.7039616       -12.0998638          .3109889          .7424398          .0475858          .4413077         -.0710812         -.0011735         -.0043203 -9.35837473052E-5 2.178373325209E-5 1.234782905869E-6 3.516232764389E-7 2.829720359067E-8 -1.78548923584E-4          .0030701 -6.29911763367E-5 8.163373045967E-4
  MQLC5LE             MONI                        21.8468461          .0000000         7.3755240       138.4940681          .9650859       -21.8222850          .3543516          .7482753          .0433627          .0058355         -.0832747         -.0014376         -.0043203 -9.35835277748E-5 2.526778617579E-5 1.234782905869E-6 4.314664249259E-7 2.829720359067E-8 -3.56284289890E-4          .0063788 -6.29911763367E-5 9.940726709030E-4
  MQLC7LE             MONI                        27.2720861          .0000000         9.2427459       226.4178445        -1.0707025         2.9030672          .4776034          .7528534          .1232518          .0045781         -.1545192 3.366484661921E-6         -.0205621 4.546008261474E-7 4.643873429522E-5 6.139215857709E-6 3.40768580574E-10 -6.0167250092E-12         -.0020909          .0154265 2.160939133411E-5 -1.82217786219E-4
  MQLY1LE1            MONI                        29.2820861          .0000000        15.6446822       197.7129056        -3.0996875        23.9534892          .5052109          .7543176          .0276075          .0014642         -.2035555 4.151269752118E-6         -.0401264 2.966064596537E-8 6.110571312721E-5 1.202525496359E-5 3.15215432500E-10 -3.9967029470E-11         -.0037997          .0191143 4.522842829976E-4         -.0022877
  MQLY2LE1            MONI                        34.4377861          .0000000        65.6509377        27.9652845        -6.5966202         8.9608962          .5309342          .7653650          .0257233          .0110474         -.4105591 4.395461684352E-6         -.0401264 1.602818266809E-9 1.231229253111E-4 1.202525496359E-5 1.09095582692E-10 -3.9967029470E-11         -.0014672          .0148826 4.522842829976E-4         -.0046203
  MQLY3LE             MONI                        41.6978296          .0000000         5.5444873         1.9279359          .6596813         -.0657313          .5929553         1.0477082          .0620212          .2823432         -.2088994 2.825767513697E-6         -.0226914 3.621929678766E-5 6.261999250263E-5 6.795514700078E-6 -4.1808270024E-11 -1.2126694356E-11 -3.77435403142E-5 2.383269200896E-4 -1.13752455638E-4 -5.45224919320E-4
  MQLY2LE2            MONI                        48.0578731          .0000000         6.3351464        28.3484420          .4647649        -8.9941617          .8108389         1.2411908          .2178836          .1934826         -.4110690 2.880592613774E-4          .0401536 9.608507879635E-5 1.231900427101E-4 -1.20288432943E-5 -1.2991796471E-10 -3.6887219655E-11 -5.38719722563E-4          .0016347 -1.86465772229E-4 4.772925937871E-4
  MQLY1LE2            MONI                        53.2135731          .0000000         6.6465591       197.9545038         -.5251484       -23.8927750          .9570430         1.2521565          .1462041          .0109657         -.2039247 7.835008483583E-4          .0401536 9.607350778696E-5 6.115432461788E-5 -1.20288432943E-5 -3.2015447405E-10 -3.6887219655E-11         -.0015004          .0118340 -1.86465772229E-4          .0014389
  MQLB1LE             MONI                        55.2235731          .0000000        12.4455871       226.3198841        -1.9762518        -2.8119996          .9936840         1.2536201          .0366410          .0014636         -.1548939 8.406155857274E-4          .0205521 1.181909286706E-5 4.648807985770E-5 -6.13788573543E-6 -3.3889439592E-10 -2.5556522489E-12         -.0030017          .0181577 -4.34356592161E-5 2.468804825618E-4
  MQLB2LE             MONI                        60.0235180          .0000000        79.4668475        34.9937994       -10.5872935        12.4942247         1.0196234         1.2616818          .0259394          .0080617         -.1558265 3.363187088066E-4         -.0023310 -1.17066787843E-4 4.692331186739E-5 7.322131802807E-7 -1.2563117534E-10 4.92519440430E-11         -.0024264          .0183197 8.446114679374E-4         -.0063965
  MQLB3LE             MONI                        68.9853633          .0000000         2.3285291         4.3714851         -.4236305          .6660209         1.1724913         1.6729556          .1528679          .4112738          .0602513 -2.62201350067E-5          .0341979 -2.94387799293E-6 -1.79254776576E-5 -1.02050641496E-5 6.64483377638E-11 -1.5305478508E-11 -3.03399599597E-4 -2.17165333395E-4 2.713304608138E-5 -1.37582693870E-4
  MQLB4LE             MONI                        77.1787307          .0000000        35.3268649        18.8626075         4.2680489        -6.0506327         1.3246809         1.9434391          .1521896          .2704835          .3075690 -5.55018247313E-5         -.0391564 -1.45085378174E-5 -9.17138943212E-5 1.166734969304E-5 -6.4379390976E-11 -2.7588148020E-11 -2.65464404584E-4 -6.53178137288E-4 -1.03070078471E-4 -4.33044924710E-4
  MQLX1LE1            MONI                        81.6354595          .0000000         8.0850208       112.4319896         1.8430705       -14.9383657         1.3671670         1.9588703          .0424861          .0154312          .1329726 -1.20140264923E-4         -.0391521 -1.45022461703E-5 -3.97027056390E-5 1.166669693289E-5 -1.8736455799E-10 -2.7586999857E-11 -7.24904587947E-4 6.480172342079E-4 -1.03059546746E-4 2.641652732791E-5
  MQLX2LE             MONI                        88.4954617          .0000000        15.9955130         1.9089922         2.9543981        -2.6358997         1.4713314         2.3836422          .1041644          .4247719          .1673581 -4.04152281409E-6         -.0220963 8.567588914599E-7 -5.02439591528E-5 6.604683699768E-6 3.77790649413E-12 2.94376313757E-11 -2.27921993421E-4         -.0015458 -1.99933202602E-4         -.0015649
  MQLX1LE2            MONI                        94.4554638          .0000000         2.9968503       138.8076977        -1.4633934        20.0379277         1.7591400         2.4356303          .2878087          .0519881          .1418755 -1.64141283704E-4          .0426967 2.578826933320E-5 -4.27700669917E-5 -1.28881370882E-5 1.57024877958E-10 -2.0051908688E-11 -3.95136544241E-4         -.0024982 7.467090373294E-5 3.515534133309E-4
  MQLA2LE             MONI                        98.9121927          .0000000        36.8789143        17.7788087        -6.1372718         7.1105828         1.8288378         2.4499321          .0696978          .0143018          .3322800 -4.91785322139E-5          .0427019 2.579355219975E-5 -1.00226570932E-4 -1.28889156665E-5 6.76316010370E-11 -2.0053162816E-11 -6.22368585589E-5 -6.53491779422E-4 7.467160706804E-5 1.867682147951E-5
  MQLA3LE             MONI                       105.2001788          .0000000         7.5409969         2.5182773         -.4972918         -.1102973         1.8903367         2.7627917          .0614989          .3128596          .0599217 4.495628922773E-5         -.0293765 2.486693388258E-6 -1.81580497484E-5 8.831891839341E-6 3.34132179103E-11 -1.5018226244E-11 2.109119281907E-4         -.0011084 4.197845056681E-5 5.249525026575E-6
  MQLA4LE             MONI                       109.4681120          .0000000        14.8017428        10.7856536        -1.2034301        -1.8262128         1.9565424         2.9155739          .0662057          .1527822         -.0655305 5.555786531352E-5         -.0293765 2.485110105881E-6 1.954718641596E-5 8.831891839341E-6 -3.0702803617E-11 -1.5018226244E-11 3.901269164658E-4         -.0027515 4.197845056681E-5 -1.73965463263E-4
  MQLA5LE             MONI                       119.0986538          .0000000        10.0690547       243.5713291        -3.1504238        14.9561744         2.3167698         2.9460454          .3602274          .0304716         -.0743667 4.975765117797E-5         -.0014482 -4.08017920447E-6 2.263400015118E-5 5.211417778049E-7 -2.3901301676E-10 1.27616581187E-11 -6.01722648153E-4         -.0020023 5.152201089688E-5 9.228325315355E-5
  MQLA6LE             MONI                       129.6316140          .0000000       154.4805850        40.0413483        20.2096903        -2.1796437         2.3548668         2.9650522          .0380970          .0190068         -.0789518 7.972005145166E-6          .0161883 -2.13608774539E-6 2.478057584544E-5 -5.00514180570E-6 -1.1874558237E-10 -1.0864082973E-11 -1.62827869383E-4 -3.64691471630E-4 -5.88182526737E-5 -4.24284916359E-4
  MQLA7LE             MONI                       133.7436466          .0000000        33.0665027        60.4022065         9.3079887        -2.7704022         2.3640315         2.9783792          .0091647          .0133270         -.0123443 -8.22584038911E-7          .0161883 -2.13729902852E-6 4.193093334928E-6 -5.00514180570E-6 -1.6343245177E-10 -1.0864082973E-11 -4.04763022317E-4 -4.44990225902E-4 -5.88182526737E-5 -1.82349763419E-4
  MQLA8LE             MONI                       143.1554475          .0000000        11.6276975         4.4847677          .4172376         -.2806693         2.7895990         3.0805096          .4255675          .1021303          .3857689 -3.41312134773E-5         -.0391773 -2.15766331388E-5 -1.16053138630E-4 1.175969549090E-5 -6.8855441701E-11 -8.2674037425E-12 8.701088922547E-6 9.708892728824E-4 -4.83839230768E-5 7.579079788423E-5
  MQLA9LE             MONI                       151.6672485          .0000000        14.9409812        20.8690463        -3.2616191         2.4443041         2.9176902         3.2231204          .1280912          .1426108          .4184247 -1.12036514127E-5          .1033355 -2.85044750680E-6 -1.25826246848E-4 -3.10522965544E-5 -1.2268963516E-10 1.87815200123E-11         -.0012642          .0050018 1.239209648896E-4 -5.27961659064E-4
  MQLA10LE            MONI                       155.1316133          .0000000        46.9009768         7.9415666        -5.9609685         1.2861349         2.9385852         3.2664974          .0208950          .0433770          .7766317 -2.11715282120E-5          .1033355 -2.83710852317E-6 -2.33435011297E-4 -3.10522965544E-5 -5.7604073473E-11 1.87815200123E-11 -8.34796920746E-4          .0060651 1.239209648896E-4 -9.57397913825E-4
  MQF4E1              MONI                       159.7521773          .0000000        28.4982751        10.7681552         2.6500454         -.8482710         2.9568011         3.3591414          .0182159          .0926440          .6206939 -5.24807009224E-5         -.0542533 -7.36818951765E-6 -1.86549157794E-4 1.631319943322E-5 -7.9722946193E-12 9.57741137327E-12 3.610645075608E-4          .0050983 8.992068328272E-7 1.446259413602E-4
  MQD3E1              MONI                       164.5639584          .0000000         7.2922203        22.4155824          .1866787         1.8677190         3.0148964         3.4056697          .0580953          .0465283          .3110205 -8.70335952716E-5         -.0169513 6.081900849239E-6 -9.34691164928E-5 5.102883913538E-6 3.46808266998E-11 4.03146200420E-12 -7.85673331889E-5          .0036721 -3.78075195937E-6 -4.29588097040E-4
  MQF2E1              MONI                       175.0138628          .0000000        15.8208306         6.2255013         1.9582424        -1.3243209         3.1907782         3.6094515          .1758818          .2037818          .3441860 -2.95777175933E-5         -.0287070 -2.03849886403E-5 -1.03575865807E-4 8.655301598734E-6 8.35699098495E-11 1.87249737177E-11 -4.49043450902E-5 4.689675747868E-4 -7.87210250530E-5 -2.38642121712E-4
  MQD1E1              MONI                       180.1536167          .0000000         5.4163327        22.3950594         -.7915433         2.9339059         3.3014823         3.6701011          .1107041          .0606496          .2369898 -1.13952245730E-4          .0290340 8.963795191708E-6 -7.12310445853E-5 -8.70403336763E-6 1.51294569597E-10 -2.1989151685E-11 -6.58375222866E-4          .0014893 6.357631993777E-5 -2.16165796920E-4
  MQF2E2              MONI                       183.8933706          .0000000        15.5409500         6.4479964        -1.9149396         1.3290160         3.3683236         3.7204840          .0668413          .0503829          .3456348 -8.04334129777E-5          .0290340 8.965865903100E-6 -1.03791755561E-4 -8.70403336763E-6 6.90358761409E-11 -2.1989151685E-11 -4.20544082871E-4          .0022539 6.357631993777E-5 -4.53996936932E-4
  MQD3E2              MONI                       194.3432750          .0000000         7.3207946        22.3317736         -.2069141        -1.8063532         3.5464512         3.9165942          .1781276          .1961102          .3128788 3.533692250073E-6          .0169752 -3.82786120657E-6 -9.37461646617E-5 -5.10657440916E-6 -4.5155202683E-11 -1.0463956140E-11 -1.89135586594E-4          .0036688 -2.19470532726E-5 1.738624777362E-4
  MQF4E2              MONI                       199.1550562          .0000000        28.9536015        10.4140320        -2.7044375          .8628366         3.6039489         3.9640222          .0574977          .0474280          .6240041 -1.61555864850E-5          .0545039 -4.48489496697E-6 -1.87043257233E-4 -1.63506777337E-5 -5.9975394666E-11 -3.6964130158E-12 -3.71904541571E-4          .0039520 5.517825420738E-5 -7.14421534709E-4
  MQEAE3              MONI                       203.7756202          .0000000        48.4796784         7.4227984         5.6135958        -1.1518404         3.6218217         4.0616033          .0178728          .0975811          .7865293 -4.06259612313E-5         -.0958508 -1.08842083125E-5 -2.35639977493E-4 2.873849957010E-5 -8.5252499667E-11 -1.7698502879E-11 9.974917637989E-5          .0012495 -8.39083554660E-5 -5.73560450388E-4
  MQD5E3              MONI                       209.5270192          .0000000         7.7923183        25.2143880          .5100417         1.9504594         3.6744097         4.1238799          .0525880          .0622765          .2679841 -9.30596121721E-5         -.0419770 6.041901206099E-6 -8.01983903569E-5 1.261114589143E-5 -1.6856901951E-10 1.31746279832E-11 -3.33753845806E-4 1.177549860496E-4 5.576931802316E-7 -1.42919840208E-4
  MQF6E2              MONI                       216.8388196          .0000000         8.9782365         6.8366707         -.6722528          .5582241         3.8436724         4.2178812          .1692627          .0940014          .1658845 -3.36734675106E-5          .0137801 -2.02638223102E-6 -4.94458702702E-5 -4.11600586211E-6 -7.1919144911E-11 1.32374105158E-11 -3.29037178342E-4          .0014781 7.303792409042E-7 -1.48050052919E-4
  MQD5E4              MONI                       225.0506200          .0000000         7.4669513        28.0977719         -.5238738        -2.2081167         4.0357271         4.3271017          .1920547          .1092205          .2671142 1.220922221707E-4          .0418650 6.637883566123E-6 -8.00667758045E-5 -1.25941926064E-5 -4.8113099883E-11 2.31751497657E-12 -3.57264133837E-4          .0051889 -3.59189088015E-5 3.883513536697E-4
  MQEAE4              MONI                       230.8020191          .0000000        47.9427164         8.2196907        -5.6057347         1.3270724         4.0898056         4.3828788          .0540785          .0557771          .7841290 4.648771636042E-5          .0955665 -1.53953835361E-5 -2.35276869052E-4 -2.86954890090E-5 7.37897945811E-12 1.04857515461E-11 -7.12815631293E-4          .0063363 1.366890900867E-4         -.0012819
