@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5424369
@ Q2         %le              43.6088934
@ DATETIME   %08s     "10/09/2019 18:50:27"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                 Y               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQC1LE              MONI                          .5300002          .0000000         2.8983805        94.1823851        -5.2715226      -177.7052852          .2189231          .2468463          .2189231          .2468463 -9.08051566426E-4 3.537992672551E-4         -.0017214 2.068169866035E-6 3.637460842368E-6 -3.52736540910E-4         -.0155468 -8.19824222520E-4 2.695361303255E-4         -.0172968
  MQC2LE              MONI                         2.2500008          .0000000       142.0964461       292.9644916      -106.0674945       169.5037780          .2397210          .2477195          .0207979 8.731930392277E-4         -.0077617 2.159871162942E-5         -.0056164 5.145925648455E-5 6.303652427951E-4 2.091331370917E-5          .0014912         -.0021596 -1.92561590454E-4          .0014807
  MQLC2LE             MONI                         5.6754722          .0000000       172.3603549        92.6108344        12.6406172        10.0888717          .2423638          .2518945          .0026428          .0041751         -.0081215 3.406727574466E-4 7.358150130085E-4 9.296074562612E-5 -9.13637487206E-7 6.808349774885E-8 -1.97996204457E-4         -.0022314 -1.03793846849E-4 -2.76516043241E-5
  MQLC3LE             MONI                        12.9355133          .0000000        26.9406334         8.1135115         1.1426601         4.1077578          .2604748          .2916986          .0181110          .0398040         -.0250041 9.854873262514E-4         -.0087661 -7.45341555785E-5 -4.72057441573E-6 1.960709487581E-7 -1.43696453551E-4 -2.34466620877E-4 6.512982431618E-5 -5.05731090799E-5
  MQLC4LE             MONI                        19.0261011          .0000000        15.1889809        41.9935482         1.6987913       -12.1128417          .3077140          .7365946          .0472392          .4448960         -.0760826         -.0011723         -.0036437 -9.52283062791E-5 -1.50213015762E-5 -2.34199533812E-7 1.205045790752E-4         -.0020782 4.341675555134E-5 -5.61715543241E-4
  MQLC5LE             MONI                        21.8468461          .0000000         7.6419564       138.2921507          .9772868       -22.0334077          .3498661          .7424858          .0421522          .0058912         -.0863564         -.0014408         -.0036437 -9.52282137808E-5 -1.71522029320E-5 -2.87247341553E-7 2.429476865914E-4         -.0043475 4.341675555134E-5 -6.84158650758E-4
  MQLC7LE             MONI                        27.2720861          .0000000         9.4641153       229.2173933        -1.0614021         2.6932515          .4685632          .7470371          .1186971          .0045513         -.1553324 -7.94864031782E-6         -.0202257 -2.44797602007E-7 -3.10392662402E-5 9.84976324063E-11          .0014341         -.0105775 -1.34290525873E-5 1.147630355535E-4
  MQLY1LE1            MONI                        29.2820861          .0000000        15.8397066       200.5714907        -3.1061036        24.2364622          .4956667          .7484807          .0271035          .0014437         -.2038574 -8.07609158038E-6         -.0399637 6.147449918842E-7 -4.07658690208E-5 9.19829188181E-11          .0026174         -.0131290 -3.11058265807E-4          .0015689
  MQLY2LE1            MONI                        34.4377861          .0000000        65.7230646        28.6584262        -6.5712117         9.1144790          .5212028          .7593099          .0255360          .0108292         -.4098159 -4.86541728719E-6         -.0399637 6.019197949651E-7 -8.20049658970E-5 3.42402698649E-11          .0010140         -.0102690 -3.11058265807E-4          .0031723
  MQLY3LE             MONI                        41.6978296          .0000000         5.4362814         1.8385011          .6689418         -.0068365          .5838027         1.0315284          .0626000          .2722185         -.2082987 3.802547250230E-7         -.0225778 -2.49652014258E-5 -4.16861215014E-5 -3.4515312161E-12 1.919605994082E-5 -1.94176128580E-4 7.836739220673E-5 3.808224704506E-4
