@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5401464
@ Q2         %le              43.6096837
@ DATETIME   %08s     "11/12/2019 13:29:33"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                PX                 Y                PY               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQC1LE              MONI                          .5300002          .0000000         2.9795952        92.0154569        -5.4682028      -173.5014208          .2266760          .2617189          .2266760          .2617189          .0045327 3.908720864006E-4          .0090511 7.030425372140E-5 1.472682925134E-6 5.812459061189E-6 -3.53196973667E-4         -.0011981         -.0167150          .0038366         -.0020823         -.0084268
  MQC2LE              MONI                         2.2500008          .0000000       148.1303360       285.6582853      -110.5212792       165.7605419          .2467928          .2626138          .0201168 8.948933109402E-4          .0323957 8.715572182910E-5          .0244201 1.366190436520E-5 6.159486922729E-4 -5.82626830338E-5 2.088844170541E-5 -5.56886723401E-5         -.0141779          .0213682          .0085930         -.0117571
  MQLC2LE             MONI                         5.6754722          .0000000       179.2406060        87.6405005        13.2345571        10.0675674          .2493331          .2669665          .0025403          .0043527          .0362393 3.786366021001E-4         -.0024768 8.919249025425E-5 -1.73645944199E-5 1.114722966839E-6 -3.40779105585E-7 -9.50621056839E-8          .0017625          .0113283 -2.65689590554E-4 -7.77150877185E-4
  MQLC3LE             MONI                        12.9355133          .0000000        27.3398978         5.8155559         1.2649583         3.3093548          .2669836          .3156008          .0176505          .0486343         -.0073586 9.702492922266E-4         -.0095039 -7.49535809147E-5 1.489527621554E-5 9.199242570574E-6 -9.83405040201E-7 7.409722370955E-8 5.974179464243E-4          .0011751 -3.00340805901E-4 2.343911763170E-4
  MQLC4LE             MONI                        19.0261011          .0000000        14.4843155        44.2109402         1.7122491       -12.1783817          .3150859          .7516427          .0481023          .4360419         -.0634728         -.0011959         -.0053004 -9.72124491418E-5 6.892200251638E-5 4.599384461648E-6 1.174825488406E-6 9.497280789400E-8 -5.90383560615E-4          .0101063 -2.02338596328E-4          .0026287
  MQLC5LE             MONI                        21.8468461          .0000000         6.9791720       139.9094757          .9457857       -21.7143796          .3603912          .7573578          .0453053          .0057151         -.0784520         -.0014707         -.0053004 -9.72098188054E-5 8.190867991719E-5 4.599384461648E-6 1.442987723647E-6 9.497280789400E-8         -.0011617          .0208087 -2.02338596328E-4          .0032000
  MQLC7LE             MONI                        27.2720861          .0000000         8.9549508       224.4975430        -1.0927833         3.2082027          .4908370          .7619352          .1304458          .0045773         -.1527866 -2.85161954269E-5         -.0209855 2.030524524346E-6 1.540346036540E-4 2.068363179708E-5 5.713603705358E-9 -1.2372120284E-10         -.0067621          .0499142 7.892272845270E-5 -6.55463344188E-4
  MQLY1LE1            MONI                        29.2820861          .0000000        15.4464442       195.4891430        -3.1123064        23.7656233          .5190790          .7634156          .0282420          .0014804         -.2024226 -2.30509855074E-5         -.0402408 4.543849829872E-6 2.032436084343E-4 4.016063429180E-5 5.249489332135E-9 -6.8351626845E-10         -.0122159          .0616989          .0014571         -.0073998
  MQLY2LE1            MONI                        34.4377861          .0000000        65.9975777        27.2752671        -6.6827907         8.8285272          .5449179          .7746735          .0258389          .0112579         -.4103070 1.377052770269E-6         -.0402408 4.241553786874E-6 4.105070542656E-4 4.016063429180E-5 1.721956971699E-9 -6.8351626845E-10         -.0046962          .0477464          .0014571         -.0149194
  MQLY3LE             MONI                        41.6978296          .0000000         5.7475233         2.0613218          .6524373         -.1422919          .6056519         1.0699709          .0607340          .2952974         -.2095135 2.389741239942E-5         -.0229562 1.165003594463E-4 2.090770750981E-4 2.276507768339E-5 -1.04075617312E-9 -1.6340802557E-10 -1.64026865918E-4 5.842177331688E-4 -3.65845885773E-4         -.0017201
  MQLY2LE2            MONI                        48.0578731          .0000000         6.2196398        28.4629665          .4990268        -8.9312039          .8177371         1.2502699          .2120851          .1802990         -.4134185 9.394374473009E-4          .0404077 3.108098035842E-4 4.117305187251E-4 -4.02261830638E-5 -2.27524419540E-9 -6.0133266767E-10         -.0017139          .0055717 -5.89272363532E-4          .0016264
  MQLY1LE2            MONI                        53.2135731          .0000000         6.4175602       196.2262785         -.5373770       -23.5756426          .9698842         1.2612693          .1521472          .0109994         -.2046724          .0025425          .0404077 3.106873471631E-4 2.041287848010E-4 -4.02261830638E-5 -5.37863842686E-9 -6.0133266767E-10         -.0047550          .0385051 -5.89272363532E-4          .0046675
  MQLB1LE             MONI                        55.2235731          .0000000        12.2223532       224.1798165        -1.9719493        -2.9266756         1.0075422         1.2627480          .0376579          .0014787         -.1550666          .0027272          .0209288 4.037221842481E-5 1.549321895366E-4 -2.06606273805E-5 -5.66128436221E-9 -3.1678522521E-11         -.0095640          .0587762 -1.45870976741E-4 8.449223747607E-4
