@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5426613
@ Q2         %le              43.6088437
@ DATETIME   %08s     "10/09/2019 18:50:30"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                 Y               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQC1LE              MONI                          .5300002          .0000000         2.8940216        94.4851018        -5.2591437      -178.2874899          .2182039          .2457548          .2182039          .2457548         -.0013621 3.553679201325E-4         -.0025666 5.161296912554E-6 3.523350091133E-6 -3.52703075475E-4         -.0154438         -.0012391 4.774075004255E-4         -.0180961
  MQC2LE              MONI                         2.2500008          .0000000       141.6963218       293.9580032      -105.7721374       170.0360284          .2390445          .2466251          .0208406 8.702976901030E-4         -.0109636 2.431109834012E-5         -.0080071 4.986428417643E-5 6.294288572948E-4 2.091545817293E-5          .0028950         -.0042680 -9.77214448681E-4          .0026634
  MQLC2LE             MONI                         5.6754722          .0000000       171.9059593        93.1595860        12.6008658        10.1023397          .2416943          .2507803          .0026498          .0041552         -.0116503 3.420374363136E-4 9.938395695039E-4 9.275365433822E-5 -1.90237100501E-6 1.021729235340E-7 -3.76052693033E-4         -.0034630 -8.99955560473E-5 3.485452899789E-5
  MQLC3LE             MONI                        12.9355133          .0000000        26.9192174         8.3404924         1.1340454         4.1838283          .2598347          .2899057          .0181404          .0391254         -.0263929 9.881718796229E-4         -.0087027 -7.52378218927E-5 -7.29052231419E-6 2.940291976350E-7 -2.19086782209E-4 -3.51875787285E-4 9.849353253077E-5 -7.64573734055E-5
  MQLC4LE             MONI                        19.0261011          .0000000        15.2453308        41.8548422         1.6982606       -12.1212434          .3069984          .7354998          .0471637          .4455942         -.0770437         -.0011735         -.0035101 -9.59908648950E-5 -2.26776598730E-5 -3.51259256367E-7 1.812932342182E-4         -.0031284 6.559931090887E-5 -8.48419537897E-4
  MQLC5LE             MONI                        21.8468461          .0000000         7.6933906       138.3197869          .9798283       -22.0874086          .3489222          .7413997          .0419238          .0058998         -.0869386         -.0014441         -.0035101 -9.59906590198E-5 -2.58169762030E-5 -4.30792353913E-7 3.662766674380E-4         -.0065537 6.559931090887E-5         -.0010334
  MQLC7LE             MONI                        27.2720861          .0000000         9.5068456       229.9044260        -1.0597918         2.6514599          .4667838          .7459432          .1178616          .0045436         -.1554519 -1.36604864972E-5         -.0201545 -3.51880242331E-7 -4.65786005275E-5 1.97993512550E-10          .0021647         -.0159650 -1.98443092286E-5 1.701025376278E-4
  MQLY1LE1            MONI                        29.2820861          .0000000        15.8788412       201.2575240        -3.1079624        24.3061921          .4937910          .7473821          .0270071          .0014388         -.2038648 -1.37333073730E-5         -.0399222 1.114804592206E-6 -6.11521251775E-5 1.85464699451E-10          .0039543         -.0198231 -4.69766651927E-4          .0023680
  MQLY2LE1            MONI                        34.4377861          .0000000        65.7498994        28.8161948        -6.5679341         9.1505765          .5192874          .7581620          .0254965          .0107799         -.4095684 -7.89257260960E-6         -.0399222 1.085771231240E-6 -1.22974459417E-4 7.06101002064E-11          .0015330         -.0155195 -4.69766651927E-4          .0047892
  MQLY3LE             MONI                        41.6978296          .0000000         5.4177054         1.8214947          .6708340          .0056333          .5819805         1.0282329          .0626931          .2700710         -.2081590 1.298271140177E-6         -.0225624 -3.77250071201E-5 -6.25090630849E-5 -1.2386073749E-12 2.687269066248E-5 -3.02959435276E-4 1.184033548681E-4 5.769657176260E-4
