@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5403009
@ Q2         %le              43.6096037
@ DATETIME   %08s     "11/12/2019 09:21:57"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                PX                 Y                PY               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQC1LE              MONI                          .5300002          .0000000         2.9720567        92.0817238        -5.4507245      -173.6351123          .2260796          .2603591          .2260796          .2603591          .0040760 3.837843325259E-4          .0081014 5.708296038249E-5 1.902714308714E-6 6.669902704410E-6 -3.53154206082E-4         -.0011981         -.0166208          .0034679         -.0018931         -.0091285
  MQC2LE              MONI                         2.2500008          .0000000       147.6006499       285.9085899      -110.1307232       165.8662071          .2462558          .2612532          .0201762 8.941589034284E-4          .0288984 7.469398528682E-5          .0218009 2.088393886629E-5 6.190130425714E-4 -5.59519004957E-5 2.089084714514E-5 -5.56862501133E-5         -.0129320          .0194978          .0078924         -.0107017
  MQLC2LE             MONI                         5.6754722          .0000000       178.6388863        87.9343794        13.1822176        10.0579319          .2488048          .2655962          .0025490          .0043430          .0323693 3.716552602907E-4         -.0021985 8.996721468859E-5 -1.39345787015E-5 8.809989149968E-7 -3.06526809113E-7 -8.53895343521E-8          .0016085          .0102641 -2.52247749388E-4 -7.13691076343E-4
  MQLC3LE             MONI                        12.9355133          .0000000        27.3069801         5.9803196         1.2540770         3.3684524          .2664939          .3134473          .0176891          .0478511         -.0089095 9.705172477201E-4         -.0094433 -7.43085980917E-5 1.408177350942E-5 8.251905772359E-6 -8.84845344573E-7 6.661347200570E-8 5.455601287508E-4          .0010570 -2.71768535788E-4 2.119366006912E-4
  MQLC4LE             MONI                        19.0261011          .0000000        14.5479905        43.9780568         1.7113808       -12.1592582          .3145125          .7502572          .0480186          .4368099         -.0646058         -.0011912         -.0051574 -9.62688434122E-5 6.251774504290E-5 4.076484627958E-6 1.056904371706E-6 8.537429661632E-8 -5.31541459569E-4          .0091054 -1.82929602526E-4          .0023757
  MQLC5LE             MONI                        21.8468461          .0000000         7.0371855       139.6145345          .9489254       -21.7149151          .3595193          .7559929          .0450068          .0057357         -.0791781         -.0014632         -.0051574 -9.62667361639E-5 7.402682684852E-5 4.076484627958E-6 1.297940424464E-6 8.537429661632E-8         -.0010480          .0187714 -1.82929602526E-4          .0028921
  MQLC7LE             MONI                        27.2720861          .0000000         8.9917521       224.6148969        -1.0886623         3.1632012          .4888992          .7605735          .1293800          .0045805         -.1530741 -2.05067498870E-5         -.0209277 1.753738767146E-6 1.387414701961E-4 1.858796162609E-5 4.398424196796E-9 -9.3214396223E-11         -.0061075          .0450790 7.012157732188E-5 -5.83530936213E-4
  MQLY1LE1            MONI                        29.2820861          .0000000        15.4650426       195.6683292        -3.1081869        23.7760052          .5170645          .7620526          .0281652          .0014791         -.2026310 -1.59634329941E-5         -.0402313 3.511028811659E-6 1.829908160633E-4 3.613701525992E-5 4.044130131342E-9 -5.2510874065E-10         -.0110426          .0557411          .0013167         -.0066833
  MQLY2LE1            MONI                        34.4377861          .0000000        65.9004765        27.3530180        -6.6654698         8.8410647          .5429042          .7732882          .0258398          .0112356         -.4104250 2.950243280976E-6         -.0402313 3.265264351059E-6 3.694702572578E-4 3.613701525992E-5 1.334388227669E-9 -5.2510874065E-10         -.0042478          .0431733          .0013167         -.0134781
  MQLY3LE             MONI                        41.6978296          .0000000         5.7145495         2.0418241          .6527542         -.1315421          .6038631         1.0667908          .0609589          .2935026         -.2094379 1.968076491596E-5         -.0229110 1.052958898188E-4 1.881294812080E-4 2.047173546540E-5 -7.7343419384E-10 -1.2907015426E-10 -1.42784372729E-4 5.512878876724E-4 -3.30688031807E-4         -.0015591
  MQLY2LE2            MONI                        48.0578731          .0000000         6.2391810        28.4284848          .4943615        -8.9340958          .8167553         1.2489008          .2128922          .1821100         -.4130506 8.474252161973E-4          .0403721 2.806926732857E-4 3.704071432289E-4 -3.61871950921E-5 -1.74369123043E-9 -4.6434894033E-10         -.0015516          .0049956 -5.33994980209E-4          .0014583
  MQLY1LE2            MONI                        53.2135731          .0000000         6.4481662       196.3373343         -.5348598       -23.6042077          .9679957         1.2599026          .1512404          .0110019         -.2045298          .0022951          .0403721 2.805928660982E-4 1.836687568224E-4 -3.61871950921E-5 -4.13989164401E-9 -4.6434894033E-10         -.0043072          .0347476 -5.33994980209E-4          .0042139
  MQLB1LE             MONI                        55.2235731          .0000000        12.2471506       224.3289565        -1.9709551        -2.9081188         1.0055221         1.2613802          .0375264          .0014775         -.1549988          .0024619          .0208793 3.618220227990E-5 1.394290199443E-4 -1.85702100800E-5 -4.35998574374E-9 -2.5130047729E-11         -.0086566          .0530795 -1.31062396094E-4 7.570893304003E-4
  MQLB2LE             MONI                        60.0235180          .0000000        78.9958840        35.0529574       -10.5509474        12.4047838         1.0317680         1.2694753          .0262460          .0080951         -.1543270 9.911790514406E-4         -.0019959 -3.41397325291E-4 1.399095165326E-4 2.022947613009E-6 -1.57972122879E-9 6.40852189180E-10         -.0070893          .0536854          .0024406         -.0185386
  MQLB3LE             MONI                        68.9853633          .0000000         2.3813346         3.9684517         -.4328633          .5627276         1.1829417         1.6758337          .1511737          .4063584          .0622562 -7.21630957891E-5          .0350001 -1.23730113420E-5 -5.46762217844E-5 -3.09583870042E-5 9.77669067413E-10 -2.6655199884E-10 -8.53790163766E-4 -4.63205616193E-4 4.111245651790E-5 -4.49566057151E-4
  MQLB4LE             MONI                        77.1787307          .0000000        35.0897507        20.5806415         4.2625468        -6.5347457         1.3335012         1.9378884          .1505595          .2620547          .3155832 -1.91400347577E-4         -.0402790 -5.20371416432E-5 -2.78612664455E-4 3.549296108884E-5 -1.32119864801E-9 -5.2312633110E-10 -5.99860951763E-4 1.547906041209E-4 -2.47559890679E-4 -6.07738597115E-4
